Orthogroup	KX643370	AF303741
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	Lymph_LDV3_KX643370_00120 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00094 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00117 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000007	Lymph_LDV3_KX643370_00044 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00056 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00091 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00040 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000011	Lymph_LDV3_KX643370_00095 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00051 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00057 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00077 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00049 hypothetical protein	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000018	Lymph_LDV3_KX643370_00126 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000019	Lymph_LDV3_KX643370_00135 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00055 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000022	Lymph_LDV3_KX643370_00089 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000023	Lymph_LDV3_KX643370_00004 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000114	Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein	AF303741.1_00106 hypothetical protein
OG0000114	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein	AF303741.1_00170 hypothetical protein
OG0000130	Lymph_LDV3_KX643370_00121 hypothetical protein	AF303741.1_00126 hypothetical protein
OG0000133	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	AF303741.1_00031 hypothetical protein
OG0000134	Lymph_LDV3_KX643370_00145 hypothetical protein	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein
OG0000135	Lymph_LDV3_KX643370_00042 Thymidylate synthase	AF303741.1_00101 Thymidylate synthase
OG0000139	Lymph_LDV3_KX643370_00043 hypothetical protein	AF303741.1_00157 hypothetical protein
OG0000146	Lymph_LDV3_KX643370_00140 hypothetical protein	AF303741.1_00183 hypothetical protein
