Orthogroup	KX643370	OQ475017
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	Lymph_LDV3_KX643370_00120 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	Lymph_LDV3_KX643370_00094 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000006	Lymph_LDV3_KX643370_00117 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	Lymph_LDV3_KX643370_00044 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000008	Lymph_LDV3_KX643370_00056 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000009	Lymph_LDV3_KX643370_00091 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000010	Lymph_LDV3_KX643370_00040 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000011	Lymph_LDV3_KX643370_00095 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000012	Lymph_LDV3_KX643370_00051 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	Lymph_LDV3_KX643370_00057 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	Lymph_LDV3_KX643370_00077 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000017	Lymph_LDV3_KX643370_00049 hypothetical protein	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	Lymph_LDV3_KX643370_00126 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000019	Lymph_LDV3_KX643370_00135 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000020	Lymph_LDV3_KX643370_00055 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000021	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000022	Lymph_LDV3_KX643370_00089 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000023	Lymph_LDV3_KX643370_00004 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000025	Lymph_LDV3_KX643370_00001 hypothetical protein	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000027	Lymph_LDV3_KX643370_00015 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000028	Lymph_LDV3_KX643370_00119 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000029	Lymph_LDV3_KX643370_00096 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
