Orthogroup	MT521409.1	HF920633.1
OG0000000	MT521409.1_00103	HF920633.1_00044
OG0000001	MT521409.1_00082	HF920633.1_00069
OG0000002	MT521409.1_00081	HF920633.1_00073
OG0000003	MT521409.1_00088	HF920633.1_00127
OG0000004	MT521409.1_00061	HF920633.1_00079
OG0000005	MT521409.1_00057	HF920633.1_00085
OG0000006	MT521409.1_00117	HF920633.1_00025
OG0000007	MT521409.1_00053	HF920633.1_00091
OG0000008	MT521409.1_00100	HF920633.1_00043
OG0000009	MT521409.1_00060	HF920633.1_00122
OG0000011	MT521409.1_00129	HF920633.1_00118
OG0000012	MT521409.1_00097	HF920633.1_00001
OG0000013	MT521409.1_00039	HF920633.1_00067
OG0000014	MT521409.1_00059	HF920633.1_00138
OG0000015	MT521409.1_00134	HF920633.1_00058
OG0000016	MT521409.1_00048	HF920633.1_00094
OG0000017	MT521409.1_00011	HF920633.1_00158
OG0000018	MT521409.1_00064	HF920633.1_00003
OG0000019	MT521409.1_00047	HF920633.1_00163
OG0000020	MT521409.1_00012	HF920633.1_00080
OG0000021	MT521409.1_00125	HF920633.1_00097
OG0000022	MT521409.1_00008	HF920633.1_00175
OG0000023	MT521409.1_00024	HF920633.1_00017
OG0000024	MT521409.1_00074	HF920633.1_00062
OG0000025	MT521409.1_00114	HF920633.1_00047
OG0000139	MT521409.1_00070	HF920633.1_00156
