Orthogroup	MT521409.1	AY779031.1
OG0000000	MT521409.1_00103	AY779031.1_00034
OG0000001	MT521409.1_00082	AY779031.1_00008
OG0000002	MT521409.1_00081	AY779031.1_00007
OG0000003	MT521409.1_00088	AY779031.1_00015, AY779031.1_00016
OG0000004	MT521409.1_00061	AY779031.1_00121
OG0000005	MT521409.1_00057	AY779031.1_00103
OG0000006	MT521409.1_00117	AY779031.1_00083
OG0000007	MT521409.1_00053	AY779031.1_00098
OG0000008	MT521409.1_00100	AY779031.1_00033
OG0000009	MT521409.1_00060	AY779031.1_00122
OG0000010	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132	AY779031.1_00085
OG0000011	MT521409.1_00129	AY779031.1_00068
OG0000012	MT521409.1_00097	AY779031.1_00023
OG0000013	MT521409.1_00039	AY779031.1_00061
OG0000014	MT521409.1_00059	AY779031.1_00129
OG0000015	MT521409.1_00134	AY779031.1_00130
OG0000016	MT521409.1_00048	AY779031.1_00095
OG0000017	MT521409.1_00011	AY779031.1_00037
OG0000018	MT521409.1_00064	AY779031.1_00116
OG0000019	MT521409.1_00047	AY779031.1_00094
OG0000020	MT521409.1_00012	AY779031.1_00035
OG0000021	MT521409.1_00125	AY779031.1_00005
OG0000022	MT521409.1_00008	AY779031.1_00039
OG0000023	MT521409.1_00024	AY779031.1_00049
OG0000025	MT521409.1_00114	AY779031.1_00069
OG0000026	MT521409.1_00063	AY779031.1_00119
OG0000027	MT521409.1_00050	AY779031.1_00096
OG0000028	MT521409.1_00027	AY779031.1_00052
OG0000029	MT521409.1_00042	AY779031.1_00066
OG0000030	MT521409.1_00108	AY779031.1_00001
OG0000031	MT521409.1_00127	AY779031.1_00006
OG0000032	MT521409.1_00119	AY779031.1_00089
OG0000033	MT521409.1_00051	AY779031.1_00097
OG0000034	MT521409.1_00110	AY779031.1_00131
OG0000035	MT521409.1_00087	AY779031.1_00013
OG0000036	MT521409.1_00133	AY779031.1_00014
OG0000037	MT521409.1_00092	AY779031.1_00019
OG0000038	MT521409.1_00093	AY779031.1_00020
OG0000039	MT521409.1_00098	AY779031.1_00024
OG0000040	MT521409.1_00090	AY779031.1_00025
OG0000041	MT521409.1_00135	AY779031.1_00036
OG0000042	MT521409.1_00013	AY779031.1_00040
OG0000043	MT521409.1_00031	AY779031.1_00053
OG0000044	MT521409.1_00032	AY779031.1_00054
OG0000045	MT521409.1_00037	AY779031.1_00059
OG0000046	MT521409.1_00038	AY779031.1_00060
OG0000047	MT521409.1_00040	AY779031.1_00062
OG0000048	MT521409.1_00052	AY779031.1_00063
OG0000049	MT521409.1_00041	AY779031.1_00065
OG0000050	MT521409.1_00118	AY779031.1_00086
OG0000051	MT521409.1_00120	AY779031.1_00090
OG0000052	MT521409.1_00005	AY779031.1_00091
OG0000053	MT521409.1_00056	AY779031.1_00102
OG0000054	MT521409.1_00106	AY779031.1_00104
OG0000055	MT521409.1_00105	AY779031.1_00107
OG0000056	MT521409.1_00062	AY779031.1_00120
OG0000057	MT521409.1_00058	AY779031.1_00125
OG0000058	MT521409.1_00001	AY779031.1_00127
OG0000059	MT521409.1_00107	AY779031.1_00002
OG0000060	MT521409.1_00084	AY779031.1_00010
OG0000062	MT521409.1_00054	AY779031.1_00099
OG0000114	MT521409.1_00096	AY779031.1_00022
OG0000115	MT521409.1_00085	AY779031.1_00011
OG0000118	MT521409.1_00055	AY779031.1_00100
