Orthogroup	LS484712	KF938901
OG0000000	LS484712.1_00114 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	LS484712.1_00187 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000002	LS484712.1_00095 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000005	LS484712.1_00203 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000006	LS484712.1_00200 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000007	LS484712.1_00143 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000008	LS484712.1_00202 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000009	LS484712.1_00135 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000010	LS484712.1_00240 hypothetical protein	KF938901.1_00123 hypothetical protein
OG0000011	LS484712.1_00053 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000012	LS484712.1_00142 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000013	LS484712.1_00192 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000014	LS484712.1_00050 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000015	LS484712.1_00188 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000016	LS484712.1_00096 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000017	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000021	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000023	LS484712.1_00040 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000121	LS484712.1_00198 hypothetical protein	KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein
OG0000130	LS484712.1_00057 hypothetical protein	KF938901.1_00086 hypothetical protein
OG0000133	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit
OG0000134	LS484712.1_00063 hypothetical protein	KF938901.1_00065 hypothetical protein
OG0000138	LS484712.1_00133 hypothetical protein	KF938901.1_00069 hypothetical protein
OG0000139	LS484712.1_00197 hypothetical protein	KF938901.1_00007 hypothetical protein
OG0000145	LS484712.1_00211 hypothetical protein	KF938901.1_00112 hypothetical protein
OG0000156	LS484712.1_00116 hypothetical protein	KF938901.1_00102 hypothetical protein
OG0000157	LS484712.1_00113 hypothetical protein	KF938901.1_00075 hypothetical protein
OG0000158	LS484712.1_00140 hypothetical protein	KF938901.1_00117 hypothetical protein
OG0000159	LS484712.1_00195 hypothetical protein	KF938901.1_00103 hypothetical protein
OG0000160	LS484712.1_00212 hypothetical protein	KF938901.1_00128 DNA ligase
OG0000161	LS484712.1_00112 hypothetical protein	KF938901.1_00121 hypothetical protein
OG0000164	LS484712.1_00184 hypothetical protein	KF938901.1_00150 hypothetical protein
OG0000183	LS484712.1_00196 hypothetical protein	KF938901.1_00063 hypothetical protein
OG0000185	LS484712.1_00224 hypothetical protein	KF938901.1_00139 hypothetical protein
OG0000188	LS484712.1_00060 hypothetical protein	KF938901.1_00077 hypothetical protein
OG0000191	LS484712.1_00163 hypothetical protein	KF938901.1_00010 hypothetical protein
OG0000192	LS484712.1_00120 hypothetical protein	KF938901.1_00008 hypothetical protein
OG0000193	LS484712.1_00106 hypothetical protein	KF938901.1_00113 hypothetical protein
OG0000207	LS484712.1_00233 hypothetical protein	KF938901.1_00029 hypothetical protein
OG0000245	LS484712.1_00207 hypothetical protein	KF938901.1_00050 hypothetical protein
OG0000246	LS484712.1_00206 hypothetical protein	KF938901.1_00083 hypothetical protein
OG0000247	LS484712.1_00201 hypothetical protein	KF938901.1_00013 hypothetical protein
