Orthogroup	LS484712	MF599468
OG0000000	LS484712.1_00114 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	LS484712.1_00187 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000002	LS484712.1_00095 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000003	LS484712.1_00248 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	LS484712.1_00130 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	LS484712.1_00203 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000006	LS484712.1_00200 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000007	LS484712.1_00143 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000008	LS484712.1_00202 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000009	LS484712.1_00135 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000010	LS484712.1_00240 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000011	LS484712.1_00053 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000012	LS484712.1_00142 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000013	LS484712.1_00192 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	LS484712.1_00050 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	LS484712.1_00188 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000016	LS484712.1_00096 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000017	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000023	LS484712.1_00040 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000130	LS484712.1_00057 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation
OG0000134	LS484712.1_00063 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation
OG0000138	LS484712.1_00133 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation
OG0000139	LS484712.1_00197 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation
OG0000156	LS484712.1_00116 hypothetical protein	MF599468.1_00141 MF599468.1 - hypothetical protein translation
OG0000158	LS484712.1_00140 hypothetical protein	MF599468.1_00004 MF599468.1 - hypothetical protein translation
OG0000159	LS484712.1_00195 hypothetical protein	MF599468.1_00162 MF599468.1 - hypothetical protein translation
OG0000160	LS484712.1_00212 hypothetical protein	MF599468.1_00067 MF599468.1 - DNA ligase translation
OG0000161	LS484712.1_00112 hypothetical protein	MF599468.1_00105 MF599468.1 - hypothetical protein translation
OG0000164	LS484712.1_00184 hypothetical protein	MF599468.1_00155 MF599468.1 - hypothetical protein translation
