Orthogroup	MK689685.1	NC_005946.1
OG0000000	MK689685.1_00029	NC_005946.1_00010
OG0000001	MK689685.1_00008	NC_005946.1_00053
OG0000002	MK689685.1_00007	NC_005946.1_00091
OG0000003	MK689685.1_00015	NC_005946.1_00057
OG0000004	MK689685.1_00110	NC_005946.1_00028
OG0000005	MK689685.1_00094	NC_005946.1_00014
OG0000006	MK689685.1_00075	NC_005946.1_00042
OG0000007	MK689685.1_00089	NC_005946.1_00002
OG0000008	MK689685.1_00028	NC_005946.1_00095
OG0000009	MK689685.1_00111	NC_005946.1_00092
OG0000011	MK689685.1_00061	NC_005946.1_00011
OG0000012	MK689685.1_00021	NC_005946.1_00060
OG0000013	MK689685.1_00054	NC_005946.1_00022
OG0000014	MK689685.1_00118	NC_005946.1_00016
OG0000015	MK689685.1_00119	NC_005946.1_00021
OG0000016	MK689685.1_00086	NC_005946.1_00082
OG0000017	MK689685.1_00032	NC_005946.1_00087
OG0000018	MK689685.1_00105	NC_005946.1_00023
OG0000019	MK689685.1_00085	NC_005946.1_00094
OG0000020	MK689685.1_00030	NC_005946.1_00083
OG0000021	MK689685.1_00005	NC_005946.1_00038
OG0000022	MK689685.1_00034	NC_005946.1_00061
OG0000023	MK689685.1_00043	NC_005946.1_00089
OG0000026	MK689685.1_00108	NC_005946.1_00086
OG0000027	MK689685.1_00087	NC_005946.1_00049
OG0000028	MK689685.1_00046	NC_005946.1_00085
