Orthogroup	MK098185.1	L63545.1
OG0000000	MK098185.1_00033	L63545.1_00007
OG0000001	MK098185.1_00008	L63545.1_00035
OG0000002	MK098185.1_00007	L63545.1_00079
OG0000003	MK098185.1_00015	L63545.1_00076
OG0000004	MK098185.1_00112	L63545.1_00001
OG0000005	MK098185.1_00095	L63545.1_00056
OG0000006	MK098185.1_00076	L63545.1_00093
OG0000007	MK098185.1_00090	L63545.1_00090
OG0000008	MK098185.1_00032	L63545.1_00108
OG0000009	MK098185.1_00114	L63545.1_00024
OG0000011	MK098185.1_00064	L63545.1_00069
OG0000012	MK098185.1_00022	L63545.1_00071
OG0000013	MK098185.1_00058	L63545.1_00004
OG0000014	MK098185.1_00122	L63545.1_00030
OG0000015	MK098185.1_00123	L63545.1_00110
OG0000016	MK098185.1_00087	L63545.1_00073
OG0000017	MK098185.1_00036	L63545.1_00072
OG0000018	MK098185.1_00107	L63545.1_00068
OG0000019	MK098185.1_00086	L63545.1_00009
OG0000020	MK098185.1_00034	L63545.1_00098
OG0000021	MK098185.1_00005	L63545.1_00043
OG0000022	MK098185.1_00038	L63545.1_00013
OG0000023	MK098185.1_00047	L63545.1_00054
OG0000024	MK098185.1_00029	L63545.1_00015
OG0000026	MK098185.1_00110	L63545.1_00002
OG0000027	MK098185.1_00088	L63545.1_00058
OG0000028	MK098185.1_00050	L63545.1_00003
