Orthogroup	MK098187.1	MN562489.1
OG0000000	MK098187.1_00033	MN562489.1_00102
OG0000001	MK098187.1_00008	MN562489.1_00081
OG0000002	MK098187.1_00007	MN562489.1_00080
OG0000003	MK098187.1_00015	MN562489.1_00087
OG0000004	MK098187.1_00112	MN562489.1_00060
OG0000005	MK098187.1_00095	MN562489.1_00056
OG0000006	MK098187.1_00076	MN562489.1_00116
OG0000007	MK098187.1_00090	MN562489.1_00052
OG0000008	MK098187.1_00032	MN562489.1_00099
OG0000009	MK098187.1_00114	MN562489.1_00059
OG0000010	MK098187.1_00077	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131
OG0000011	MK098187.1_00064	MN562489.1_00128
OG0000012	MK098187.1_00022	MN562489.1_00096
OG0000013	MK098187.1_00058	MN562489.1_00038
OG0000014	MK098187.1_00122	MN562489.1_00058
OG0000015	MK098187.1_00123	MN562489.1_00133
OG0000016	MK098187.1_00087	MN562489.1_00047
OG0000017	MK098187.1_00036	MN562489.1_00011
OG0000018	MK098187.1_00107	MN562489.1_00063
OG0000019	MK098187.1_00086	MN562489.1_00046
OG0000020	MK098187.1_00034	MN562489.1_00012
OG0000021	MK098187.1_00005	MN562489.1_00124
OG0000022	MK098187.1_00038	MN562489.1_00008
OG0000023	MK098187.1_00047	MN562489.1_00023
OG0000024	MK098187.1_00029	MN562489.1_00073
OG0000025	MK098187.1_00065	MN562489.1_00113
OG0000026	MK098187.1_00110	MN562489.1_00062
OG0000027	MK098187.1_00088	MN562489.1_00049
OG0000028	MK098187.1_00050	MN562489.1_00026
OG0000029	MK098187.1_00062	MN562489.1_00041
OG0000030	MK098187.1_00001	MN562489.1_00107
OG0000031	MK098187.1_00006	MN562489.1_00126
OG0000032	MK098187.1_00081	MN562489.1_00118
OG0000033	MK098187.1_00089	MN562489.1_00050
OG0000034	MK098187.1_00124	MN562489.1_00109
OG0000035	MK098187.1_00013	MN562489.1_00086
OG0000036	MK098187.1_00014	MN562489.1_00132
OG0000037	MK098187.1_00019	MN562489.1_00091
OG0000038	MK098187.1_00020	MN562489.1_00092
OG0000039	MK098187.1_00023	MN562489.1_00097
OG0000040	MK098187.1_00024	MN562489.1_00089
OG0000041	MK098187.1_00035	MN562489.1_00134
OG0000042	MK098187.1_00039	MN562489.1_00013
OG0000043	MK098187.1_00051	MN562489.1_00030
OG0000044	MK098187.1_00052	MN562489.1_00031
OG0000045	MK098187.1_00056	MN562489.1_00036
OG0000046	MK098187.1_00057	MN562489.1_00037
OG0000047	MK098187.1_00059	MN562489.1_00039
OG0000048	MK098187.1_00060	MN562489.1_00051
OG0000049	MK098187.1_00061	MN562489.1_00040
OG0000050	MK098187.1_00078	MN562489.1_00117
OG0000051	MK098187.1_00082	MN562489.1_00119
OG0000052	MK098187.1_00083	MN562489.1_00005
OG0000053	MK098187.1_00094	MN562489.1_00055
OG0000054	MK098187.1_00096	MN562489.1_00105
OG0000055	MK098187.1_00099	MN562489.1_00104
OG0000056	MK098187.1_00111	MN562489.1_00061
OG0000057	MK098187.1_00116	MN562489.1_00057
OG0000058	MK098187.1_00118	MN562489.1_00001
OG0000059	MK098187.1_00002	MN562489.1_00106
OG0000060	MK098187.1_00010	MN562489.1_00083
OG0000061	MK098187.1_00018	MN562489.1_00090
OG0000062	MK098187.1_00091	MN562489.1_00053
OG0000096	MK098187.1_00120	MN562489.1_00045
OG0000114	MK098187.1_00021	MN562489.1_00095
OG0000115	MK098187.1_00011	MN562489.1_00084
OG0000118	MK098187.1_00092	MN562489.1_00054
