Orthogroup	GQ273492.1	NC_005946.1
OG0000000	GQ273492.1_00030	NC_005946.1_00010
OG0000001	GQ273492.1_00007	NC_005946.1_00091
OG0000003	GQ273492.1_00008	NC_005946.1_00053
OG0000004	GQ273492.1_00015	NC_005946.1_00057
OG0000005	GQ273492.1_00029	NC_005946.1_00095
OG0000006	GQ273492.1_00073	NC_005946.1_00042
OG0000007	GQ273492.1_00087	NC_005946.1_00002
OG0000008	GQ273492.1_00108	NC_005946.1_00028
OG0000009	GQ273492.1_00110	NC_005946.1_00092
OG0000010	GQ273492.1_00005	NC_005946.1_00038
OG0000011	GQ273492.1_00022	NC_005946.1_00060
OG0000012	GQ273492.1_00031	NC_005946.1_00083
OG0000013	GQ273492.1_00033	NC_005946.1_00087
OG0000014	GQ273492.1_00035	NC_005946.1_00061
OG0000015	GQ273492.1_00056	NC_005946.1_00022
OG0000016	GQ273492.1_00063	NC_005946.1_00011
OG0000017	GQ273492.1_00083	NC_005946.1_00094
OG0000018	GQ273492.1_00084	NC_005946.1_00082
OG0000019	GQ273492.1_00103	NC_005946.1_00023
OG0000020	GQ273492.1_00118	NC_005946.1_00016
OG0000021	GQ273492.1_00119	NC_005946.1_00021
OG0000022	GQ273492.1_00044	NC_005946.1_00089
OG0000023	GQ273492.1_00092	NC_005946.1_00014
OG0000024	GQ273492.1_00106	NC_005946.1_00086
OG0000026	GQ273492.1_00085	NC_005946.1_00049
OG0000027	GQ273492.1_00047	NC_005946.1_00085
OG0000112	GQ273492.1_00077	NC_005946.1_00006
