Orthogroup	GQ273492.1	MT798582.1
OG0000000	GQ273492.1_00030	MT798582.1_00076
OG0000001	GQ273492.1_00007	MT798582.1_00019
OG0000002	GQ273492.1_00074	MT798582.1_00087
OG0000003	GQ273492.1_00008	MT798582.1_00018
OG0000004	GQ273492.1_00015	MT798582.1_00012
OG0000005	GQ273492.1_00029	MT798582.1_00077
OG0000006	GQ273492.1_00073	MT798582.1_00088
OG0000007	GQ273492.1_00087	MT798582.1_00116
OG0000008	GQ273492.1_00108	MT798582.1_00037
OG0000009	GQ273492.1_00110	MT798582.1_00036
OG0000010	GQ273492.1_00005	MT798582.1_00021
OG0000011	GQ273492.1_00022	MT798582.1_00004
OG0000012	GQ273492.1_00031	MT798582.1_00075
OG0000013	GQ273492.1_00033	MT798582.1_00073
OG0000014	GQ273492.1_00035	MT798582.1_00071
OG0000015	GQ273492.1_00056	MT798582.1_00049
OG0000016	GQ273492.1_00063	MT798582.1_00100
OG0000017	GQ273492.1_00083	MT798582.1_00120
OG0000018	GQ273492.1_00084	MT798582.1_00119
OG0000019	GQ273492.1_00103	MT798582.1_00042
OG0000020	GQ273492.1_00118	MT798582.1_00028
OG0000021	GQ273492.1_00119	MT798582.1_00027
OG0000022	GQ273492.1_00044	MT798582.1_00062
OG0000023	GQ273492.1_00092	MT798582.1_00111
OG0000024	GQ273492.1_00106	MT798582.1_00039
OG0000025	GQ273492.1_00064	MT798582.1_00099
OG0000026	GQ273492.1_00085	MT798582.1_00118
OG0000027	GQ273492.1_00047	MT798582.1_00059
OG0000028	GQ273492.1_00006	MT798582.1_00020
OG0000029	GQ273492.1_00061	MT798582.1_00102
OG0000030	GQ273492.1_00001	MT798582.1_00025
OG0000031	GQ273492.1_00078	MT798582.1_00084
OG0000032	GQ273492.1_00086	MT798582.1_00117
OG0000033	GQ273492.1_00120	MT798582.1_00026
OG0000034	GQ273492.1_00013	MT798582.1_00014
OG0000035	GQ273492.1_00014	MT798582.1_00013
OG0000036	GQ273492.1_00019	MT798582.1_00008
OG0000037	GQ273492.1_00020	MT798582.1_00007
OG0000038	GQ273492.1_00023	MT798582.1_00003
OG0000039	GQ273492.1_00024	MT798582.1_00002
OG0000040	GQ273492.1_00032	MT798582.1_00074
OG0000041	GQ273492.1_00036	MT798582.1_00070
OG0000042	GQ273492.1_00048	MT798582.1_00057
OG0000043	GQ273492.1_00049	MT798582.1_00056
OG0000044	GQ273492.1_00054	MT798582.1_00051
OG0000045	GQ273492.1_00055	MT798582.1_00050
OG0000046	GQ273492.1_00057	MT798582.1_00048
OG0000047	GQ273492.1_00059	MT798582.1_00047
OG0000048	GQ273492.1_00060	MT798582.1_00046
OG0000049	GQ273492.1_00075	MT798582.1_00086
OG0000050	GQ273492.1_00079	MT798582.1_00124
OG0000051	GQ273492.1_00080	MT798582.1_00123
OG0000052	GQ273492.1_00091	MT798582.1_00112
OG0000053	GQ273492.1_00093	MT798582.1_00110
OG0000054	GQ273492.1_00096	MT798582.1_00107
OG0000055	GQ273492.1_00107	MT798582.1_00038
OG0000056	GQ273492.1_00112	MT798582.1_00034
OG0000057	GQ273492.1_00114	MT798582.1_00032
OG0000058	GQ273492.1_00002	MT798582.1_00024
OG0000060	GQ273492.1_00018	MT798582.1_00009
OG0000061	GQ273492.1_00088	MT798582.1_00115
OG0000062	GQ273492.1_00027	MT798582.1_00080
OG0000063	GQ273492.1_00070	MT798582.1_00091
OG0000064	GQ273492.1_00017	MT798582.1_00010
OG0000065	GQ273492.1_00038	MT798582.1_00068
OG0000066	GQ273492.1_00042	MT798582.1_00064
OG0000067	GQ273492.1_00046	MT798582.1_00060
OG0000068	GQ273492.1_00066	MT798582.1_00096
OG0000069	GQ273492.1_00095	MT798582.1_00108
OG0000070	GQ273492.1_00097	MT798582.1_00106
OG0000071	GQ273492.1_00111	MT798582.1_00035
OG0000072	GQ273492.1_00009	MT798582.1_00017
OG0000073	GQ273492.1_00012	MT798582.1_00015
OG0000074	GQ273492.1_00016	MT798582.1_00011
OG0000075	GQ273492.1_00034	MT798582.1_00072
OG0000076	GQ273492.1_00037	MT798582.1_00069
OG0000077	GQ273492.1_00040	MT798582.1_00066
OG0000078	GQ273492.1_00041	MT798582.1_00065
OG0000079	GQ273492.1_00045	MT798582.1_00061
OG0000080	GQ273492.1_00050	MT798582.1_00055
OG0000081	GQ273492.1_00051	MT798582.1_00054
OG0000082	GQ273492.1_00052	MT798582.1_00053
OG0000083	GQ273492.1_00062	MT798582.1_00101
OG0000084	GQ273492.1_00065	MT798582.1_00098
OG0000085	GQ273492.1_00067	MT798582.1_00095
OG0000086	GQ273492.1_00068	MT798582.1_00094
OG0000087	GQ273492.1_00071	MT798582.1_00090
