Orthogroup	MK689686.1	HF920633.1
OG0000000	MK689686.1_00029	HF920633.1_00044
OG0000001	MK689686.1_00007	HF920633.1_00073
OG0000003	MK689686.1_00008	HF920633.1_00069
OG0000004	MK689686.1_00014	HF920633.1_00127
OG0000005	MK689686.1_00028	HF920633.1_00043
OG0000006	MK689686.1_00074	HF920633.1_00025
OG0000007	MK689686.1_00088	HF920633.1_00091
OG0000008	MK689686.1_00110	HF920633.1_00079
OG0000009	MK689686.1_00112	HF920633.1_00122
OG0000010	MK689686.1_00005	HF920633.1_00097
OG0000011	MK689686.1_00021	HF920633.1_00001
OG0000012	MK689686.1_00030	HF920633.1_00080
OG0000013	MK689686.1_00032	HF920633.1_00158
OG0000014	MK689686.1_00034	HF920633.1_00175
OG0000015	MK689686.1_00056	HF920633.1_00067
OG0000016	MK689686.1_00062	HF920633.1_00118
OG0000017	MK689686.1_00084	HF920633.1_00163
OG0000018	MK689686.1_00085	HF920633.1_00094
OG0000019	MK689686.1_00105	HF920633.1_00003
OG0000020	MK689686.1_00120	HF920633.1_00138
OG0000021	MK689686.1_00121	HF920633.1_00058
OG0000022	MK689686.1_00043	HF920633.1_00017
OG0000025	MK689686.1_00063	HF920633.1_00047
OG0000028	MK689686.1_00006	HF920633.1_00030
