Orthogroup	ON075463.1	HF920633.1
OG0000000	ON075463.1_00029	HF920633.1_00044
OG0000001	ON075463.1_00008	HF920633.1_00069
OG0000002	ON075463.1_00007	HF920633.1_00073
OG0000003	ON075463.1_00014	HF920633.1_00127
OG0000004	ON075463.1_00109	HF920633.1_00079
OG0000005	ON075463.1_00092	HF920633.1_00085
OG0000006	ON075463.1_00073	HF920633.1_00025
OG0000007	ON075463.1_00087	HF920633.1_00091
OG0000008	ON075463.1_00028	HF920633.1_00043
OG0000009	ON075463.1_00111	HF920633.1_00122
OG0000011	ON075463.1_00061	HF920633.1_00118
OG0000012	ON075463.1_00021	HF920633.1_00001
OG0000013	ON075463.1_00055	HF920633.1_00067
OG0000014	ON075463.1_00118	HF920633.1_00138
OG0000015	ON075463.1_00119	HF920633.1_00058
OG0000016	ON075463.1_00084	HF920633.1_00094
OG0000017	ON075463.1_00032	HF920633.1_00158
OG0000018	ON075463.1_00104	HF920633.1_00003
OG0000019	ON075463.1_00083	HF920633.1_00163
OG0000020	ON075463.1_00030	HF920633.1_00080
OG0000021	ON075463.1_00005	HF920633.1_00097
OG0000022	ON075463.1_00034	HF920633.1_00175
OG0000023	ON075463.1_00043	HF920633.1_00017
OG0000024	ON075463.1_00025	HF920633.1_00062
OG0000025	ON075463.1_00062	HF920633.1_00047
