Orthogroup	ON075463.1	NC_005946.1
OG0000000	ON075463.1_00029	NC_005946.1_00010
OG0000001	ON075463.1_00008	NC_005946.1_00053
OG0000002	ON075463.1_00007	NC_005946.1_00091
OG0000003	ON075463.1_00014	NC_005946.1_00057
OG0000004	ON075463.1_00109	NC_005946.1_00028
OG0000005	ON075463.1_00092	NC_005946.1_00014
OG0000006	ON075463.1_00073	NC_005946.1_00042
OG0000007	ON075463.1_00087	NC_005946.1_00002
OG0000008	ON075463.1_00028	NC_005946.1_00095
OG0000009	ON075463.1_00111	NC_005946.1_00092
OG0000011	ON075463.1_00061	NC_005946.1_00011
OG0000012	ON075463.1_00021	NC_005946.1_00060
OG0000013	ON075463.1_00055	NC_005946.1_00022
OG0000014	ON075463.1_00118	NC_005946.1_00016
OG0000015	ON075463.1_00119	NC_005946.1_00021
OG0000016	ON075463.1_00084	NC_005946.1_00082
OG0000017	ON075463.1_00032	NC_005946.1_00087
OG0000018	ON075463.1_00104	NC_005946.1_00023
OG0000019	ON075463.1_00083	NC_005946.1_00094
OG0000020	ON075463.1_00030	NC_005946.1_00083
OG0000021	ON075463.1_00005	NC_005946.1_00038
OG0000022	ON075463.1_00034	NC_005946.1_00061
OG0000023	ON075463.1_00043	NC_005946.1_00089
OG0000024	ON075463.1_00025	NC_005946.1_00067
OG0000026	ON075463.1_00107	NC_005946.1_00086
OG0000027	ON075463.1_00085	NC_005946.1_00049
OG0000028	ON075463.1_00046	NC_005946.1_00085
OG0000112	ON075463.1_00077	NC_005946.1_00006
