Orthogroup	KT804738.1	AY521625.1
OG0000000	KT804738.1_00029	AY521625.1_00091
OG0000001	KT804738.1_00008	AY521625.1_00077
OG0000002	KT804738.1_00007	AY521625.1_00064
OG0000003	KT804738.1_00015	AY521625.1_00130
OG0000004	KT804738.1_00109	AY521625.1_00069, AY521625.1_00070
OG0000005	KT804738.1_00092	AY521625.1_00100
OG0000006	KT804738.1_00072	AY521625.1_00051
OG0000007	KT804738.1_00086	AY521625.1_00016
OG0000008	KT804738.1_00028	AY521625.1_00085
OG0000009	KT804738.1_00111	AY521625.1_00142
OG0000011	KT804738.1_00060	AY521625.1_00053
OG0000012	KT804738.1_00021	AY521625.1_00110
OG0000013	KT804738.1_00055	AY521625.1_00048
OG0000014	KT804738.1_00119	AY521625.1_00115
OG0000015	KT804738.1_00120	AY521625.1_00035
OG0000016	KT804738.1_00083	AY521625.1_00073
OG0000017	KT804738.1_00032	AY521625.1_00059
OG0000018	KT804738.1_00104	AY521625.1_00047
OG0000019	KT804738.1_00082	AY521625.1_00086
OG0000020	KT804738.1_00030	AY521625.1_00074
OG0000021	KT804738.1_00005	AY521625.1_00054
OG0000022	KT804738.1_00034	AY521625.1_00065
OG0000023	KT804738.1_00043	AY521625.1_00062
OG0000024	KT804738.1_00025	AY521625.1_00042
OG0000026	KT804738.1_00107	AY521625.1_00060
OG0000027	KT804738.1_00084	AY521625.1_00022
OG0000030	KT804738.1_00001	AY521625.1_00004
