Orthogroup	KT804738.1	NC_005946.1
OG0000000	KT804738.1_00029	NC_005946.1_00010
OG0000001	KT804738.1_00008	NC_005946.1_00053
OG0000002	KT804738.1_00007	NC_005946.1_00091
OG0000003	KT804738.1_00015	NC_005946.1_00057
OG0000004	KT804738.1_00109	NC_005946.1_00028
OG0000005	KT804738.1_00092	NC_005946.1_00014
OG0000006	KT804738.1_00072	NC_005946.1_00042
OG0000007	KT804738.1_00086	NC_005946.1_00002
OG0000008	KT804738.1_00028	NC_005946.1_00095
OG0000009	KT804738.1_00111	NC_005946.1_00092
OG0000011	KT804738.1_00060	NC_005946.1_00011
OG0000012	KT804738.1_00021	NC_005946.1_00060
OG0000013	KT804738.1_00055	NC_005946.1_00022
OG0000014	KT804738.1_00119	NC_005946.1_00016
OG0000015	KT804738.1_00120	NC_005946.1_00021
OG0000016	KT804738.1_00083	NC_005946.1_00082
OG0000017	KT804738.1_00032	NC_005946.1_00087
OG0000018	KT804738.1_00104	NC_005946.1_00023
OG0000019	KT804738.1_00082	NC_005946.1_00094
OG0000020	KT804738.1_00030	NC_005946.1_00083
OG0000021	KT804738.1_00005	NC_005946.1_00038
OG0000022	KT804738.1_00034	NC_005946.1_00061
OG0000023	KT804738.1_00043	NC_005946.1_00089
OG0000024	KT804738.1_00025	NC_005946.1_00067
OG0000026	KT804738.1_00107	NC_005946.1_00086
OG0000027	KT804738.1_00084	NC_005946.1_00049
OG0000028	KT804738.1_00046	NC_005946.1_00085
OG0000112	KT804738.1_00076	NC_005946.1_00006
