Orthogroup	KT804738.1	MF599468.1
OG0000000	KT804738.1_00029	MF599468.1_00057, MF599468.1_00056
OG0000001	KT804738.1_00008	MF599468.1_00163
OG0000002	KT804738.1_00007	MF599468.1_00152
OG0000003	KT804738.1_00015	MF599468.1_00011
OG0000004	KT804738.1_00109	MF599468.1_00092
OG0000005	KT804738.1_00092	MF599468.1_00154
OG0000006	KT804738.1_00072	MF599468.1_00010
OG0000007	KT804738.1_00086	MF599468.1_00174
OG0000008	KT804738.1_00028	MF599468.1_00030
OG0000009	KT804738.1_00111	MF599468.1_00075
OG0000011	KT804738.1_00060	MF599468.1_00149
OG0000012	KT804738.1_00021	MF599468.1_00112
OG0000013	KT804738.1_00055	MF599468.1_00033
OG0000014	KT804738.1_00119	MF599468.1_00122
OG0000015	KT804738.1_00120	MF599468.1_00009
OG0000016	KT804738.1_00083	MF599468.1_00046
OG0000017	KT804738.1_00032	MF599468.1_00035
OG0000018	KT804738.1_00104	MF599468.1_00117
OG0000019	KT804738.1_00082	MF599468.1_00106
OG0000020	KT804738.1_00030	MF599468.1_00090
OG0000021	KT804738.1_00005	MF599468.1_00116
OG0000022	KT804738.1_00034	MF599468.1_00071
OG0000023	KT804738.1_00043	MF599468.1_00171
OG0000026	KT804738.1_00107	MF599468.1_00039
OG0000069	KT804738.1_00095	MF599468.1_00131
