Orthogroup	OQ475017	NC_005946
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	NC_005946.1_00010 hypothetical protein
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	NC_005946.1_00053 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	NC_005946.1_00057 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	NC_005946.1_00095 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	NC_005946.1_00092 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	NC_005946.1_00038 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	NC_005946.1_00091 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	NC_005946.1_00060 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	NC_005946.1_00083 hypothetical protein
OG0000009	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	NC_005946.1_00087 hypothetical protein
OG0000010	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000011	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	NC_005946.1_00022 hypothetical protein
OG0000012	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	NC_005946.1_00011 hypothetical protein
OG0000013	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	NC_005946.1_00094 hypothetical protein
OG0000014	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	NC_005946.1_00002 hypothetical protein
OG0000015	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	NC_005946.1_00023 hypothetical protein
OG0000016	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	NC_005946.1_00016 hypothetical protein
OG0000017	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	NC_005946.1_00021 hypothetical protein
OG0000018	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	NC_005946.1_00067 hypothetical protein
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	NC_005946.1_00042 hypothetical protein
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	NC_005946.1_00082 hypothetical protein
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	NC_005946.1_00014 hypothetical protein
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	NC_005946.1_00028 hypothetical protein
OG0000023	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	NC_005946.1_00089 hypothetical protein
OG0000026	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	NC_005946.1_00049 hypothetical protein
OG0000027	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	NC_005946.1_00086 hypothetical protein
OG0000028	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	NC_005946.1_00085 hypothetical protein
OG0000120	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation	NC_005946.1_00006 hypothetical protein
