Orthogroup	OQ475017	AF303741
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	AF303741.1_00047 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	AF303741.1_00035 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	AF303741.1_00165 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	AF303741.1_00176 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	AF303741.1_00158 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	AF303741.1_00125 Major capsid protein
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	AF303741.1_00011 hypothetical protein
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	AF303741.1_00156 hypothetical protein
OG0000009	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	AF303741.1_00063 hypothetical protein
OG0000010	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000011	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	AF303741.1_00023 hypothetical protein
OG0000012	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	AF303741.1_00006 hypothetical protein
OG0000013	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	AF303741.1_00137 hypothetical protein
OG0000014	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	AF303741.1_00149 hypothetical protein
OG0000015	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	AF303741.1_00081 hypothetical protein
OG0000016	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	AF303741.1_00026 hypothetical protein
OG0000017	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	AF303741.1_00046 hypothetical protein
OG0000018	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	AF303741.1_00132 hypothetical protein
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	AF303741.1_00062 hypothetical protein
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	AF303741.1_00129 hypothetical protein
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	AF303741.1_00080 hypothetical protein
OG0000023	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000025	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	AF303741.1_00051 Dual specificity protein phosphatase H1
