Orthogroup	MT986830.1	AY779031.1
OG0000000	MT986830.1_00033	AY779031.1_00034
OG0000001	MT986830.1_00007	AY779031.1_00007
OG0000002	MT986830.1_00081	AY779031.1_00085
OG0000003	MT986830.1_00008	AY779031.1_00008
OG0000004	MT986830.1_00015	AY779031.1_00015, AY779031.1_00016
OG0000005	MT986830.1_00032	AY779031.1_00033
OG0000006	MT986830.1_00080	AY779031.1_00083
OG0000007	MT986830.1_00094	AY779031.1_00098
OG0000008	MT986830.1_00116	AY779031.1_00121
OG0000009	MT986830.1_00117	AY779031.1_00122
OG0000010	MT986830.1_00005	AY779031.1_00005
OG0000011	MT986830.1_00022	AY779031.1_00023
OG0000012	MT986830.1_00034	AY779031.1_00035
OG0000013	MT986830.1_00036	AY779031.1_00037
OG0000014	MT986830.1_00038	AY779031.1_00039
OG0000015	MT986830.1_00059	AY779031.1_00061
OG0000016	MT986830.1_00065	AY779031.1_00068
OG0000017	MT986830.1_00090	AY779031.1_00094
OG0000018	MT986830.1_00091	AY779031.1_00095
OG0000019	MT986830.1_00111	AY779031.1_00116
OG0000020	MT986830.1_00125	AY779031.1_00129
OG0000021	MT986830.1_00126	AY779031.1_00130
OG0000022	MT986830.1_00046	AY779031.1_00049
OG0000023	MT986830.1_00100	AY779031.1_00103
OG0000024	MT986830.1_00114	AY779031.1_00119
OG0000025	MT986830.1_00066	AY779031.1_00069
OG0000026	MT986830.1_00092	AY779031.1_00096
OG0000027	MT986830.1_00049	AY779031.1_00052
OG0000028	MT986830.1_00006	AY779031.1_00006
OG0000029	MT986830.1_00063	AY779031.1_00066
OG0000030	MT986830.1_00001	AY779031.1_00001
OG0000031	MT986830.1_00085	AY779031.1_00089
OG0000032	MT986830.1_00093	AY779031.1_00097
OG0000033	MT986830.1_00127	AY779031.1_00131
OG0000034	MT986830.1_00013	AY779031.1_00013
OG0000035	MT986830.1_00014	AY779031.1_00014
OG0000036	MT986830.1_00019	AY779031.1_00019
OG0000037	MT986830.1_00020	AY779031.1_00020
OG0000038	MT986830.1_00023	AY779031.1_00024
OG0000039	MT986830.1_00024	AY779031.1_00025
OG0000040	MT986830.1_00035	AY779031.1_00036
