Orthogroup	MT986830.1	HF920633.1
OG0000000	MT986830.1_00033	HF920633.1_00044
OG0000001	MT986830.1_00007	HF920633.1_00073
OG0000003	MT986830.1_00008	HF920633.1_00069
OG0000004	MT986830.1_00015	HF920633.1_00127
OG0000005	MT986830.1_00032	HF920633.1_00043
OG0000006	MT986830.1_00080	HF920633.1_00025
OG0000007	MT986830.1_00094	HF920633.1_00091
OG0000008	MT986830.1_00116	HF920633.1_00079
OG0000009	MT986830.1_00117	HF920633.1_00122
OG0000010	MT986830.1_00005	HF920633.1_00097
OG0000011	MT986830.1_00022	HF920633.1_00001
OG0000012	MT986830.1_00034	HF920633.1_00080
OG0000013	MT986830.1_00036	HF920633.1_00158
OG0000014	MT986830.1_00038	HF920633.1_00175
OG0000015	MT986830.1_00059	HF920633.1_00067
OG0000016	MT986830.1_00065	HF920633.1_00118
OG0000017	MT986830.1_00090	HF920633.1_00163
OG0000018	MT986830.1_00091	HF920633.1_00094
OG0000019	MT986830.1_00111	HF920633.1_00003
OG0000020	MT986830.1_00125	HF920633.1_00138
OG0000021	MT986830.1_00126	HF920633.1_00058
OG0000022	MT986830.1_00046	HF920633.1_00017
OG0000025	MT986830.1_00066	HF920633.1_00047
OG0000028	MT986830.1_00006	HF920633.1_00030
