Orthogroup	MT986830.1	HF920637.1
OG0000000	MT986830.1_00033	HF920637.1_00129, HF920637.1_00164
OG0000001	MT986830.1_00007	HF920637.1_00143
OG0000003	MT986830.1_00008	HF920637.1_00059
OG0000004	MT986830.1_00015	HF920637.1_00159
OG0000005	MT986830.1_00032	HF920637.1_00176, HF920637.1_00175
OG0000006	MT986830.1_00080	HF920637.1_00121
OG0000007	MT986830.1_00094	HF920637.1_00172
OG0000008	MT986830.1_00116	HF920637.1_00025
OG0000009	MT986830.1_00117	HF920637.1_00153
OG0000010	MT986830.1_00005	HF920637.1_00041
OG0000011	MT986830.1_00022	HF920637.1_00001
OG0000012	MT986830.1_00034	HF920637.1_00031
OG0000013	MT986830.1_00036	HF920637.1_00073
OG0000014	MT986830.1_00038	HF920637.1_00213
OG0000015	MT986830.1_00059	HF920637.1_00017
OG0000016	MT986830.1_00065	HF920637.1_00217
OG0000017	MT986830.1_00090	HF920637.1_00197
OG0000018	MT986830.1_00091	HF920637.1_00079
OG0000019	MT986830.1_00111	HF920637.1_00111
OG0000020	MT986830.1_00125	HF920637.1_00108
OG0000021	MT986830.1_00126	HF920637.1_00152
OG0000022	MT986830.1_00046	HF920637.1_00033
OG0000023	MT986830.1_00100	HF920637.1_00221
OG0000024	MT986830.1_00114	HF920637.1_00203
OG0000025	MT986830.1_00066	HF920637.1_00156
OG0000028	MT986830.1_00006	HF920637.1_00127
