Orthogroup	MT986830.1	MN432490.1
OG0000000	MT986830.1_00033	MN432490.1_00032
OG0000001	MT986830.1_00007	MN432490.1_00007
OG0000002	MT986830.1_00081	MN432490.1_00079
OG0000003	MT986830.1_00008	MN432490.1_00008
OG0000004	MT986830.1_00015	MN432490.1_00015
OG0000005	MT986830.1_00032	MN432490.1_00031
OG0000006	MT986830.1_00080	MN432490.1_00078
OG0000007	MT986830.1_00094	MN432490.1_00092
OG0000008	MT986830.1_00116	MN432490.1_00113
OG0000009	MT986830.1_00117	MN432490.1_00114
OG0000010	MT986830.1_00005	MN432490.1_00005
OG0000011	MT986830.1_00022	MN432490.1_00023
OG0000012	MT986830.1_00034	MN432490.1_00033
OG0000013	MT986830.1_00036	MN432490.1_00035
OG0000014	MT986830.1_00038	MN432490.1_00037
OG0000015	MT986830.1_00059	MN432490.1_00058
OG0000016	MT986830.1_00065	MN432490.1_00064
OG0000017	MT986830.1_00090	MN432490.1_00088
OG0000018	MT986830.1_00091	MN432490.1_00089
OG0000019	MT986830.1_00111	MN432490.1_00108
OG0000020	MT986830.1_00125	MN432490.1_00122
OG0000021	MT986830.1_00126	MN432490.1_00123
OG0000022	MT986830.1_00046	MN432490.1_00046
OG0000023	MT986830.1_00100	MN432490.1_00097
OG0000024	MT986830.1_00114	MN432490.1_00111
OG0000025	MT986830.1_00066	MN432490.1_00065
OG0000026	MT986830.1_00092	MN432490.1_00090
OG0000027	MT986830.1_00049	MN432490.1_00049
OG0000028	MT986830.1_00006	MN432490.1_00006
OG0000029	MT986830.1_00063	MN432490.1_00062
OG0000030	MT986830.1_00001	MN432490.1_00001
OG0000031	MT986830.1_00085	MN432490.1_00083
OG0000032	MT986830.1_00093	MN432490.1_00091
OG0000033	MT986830.1_00127	MN432490.1_00124
OG0000034	MT986830.1_00013	MN432490.1_00013
OG0000035	MT986830.1_00014	MN432490.1_00014
OG0000036	MT986830.1_00019	MN432490.1_00019
OG0000037	MT986830.1_00020	MN432490.1_00020
OG0000038	MT986830.1_00023	MN432490.1_00024
OG0000039	MT986830.1_00024	MN432490.1_00025
OG0000040	MT986830.1_00035	MN432490.1_00034
