Orthogroup	AY521625.1	KC244182.1
OG0000000	AY521625.1_00091	KC244182.1_00029
OG0000001	AY521625.1_00077	KC244182.1_00008
OG0000002	AY521625.1_00064	KC244182.1_00007
OG0000003	AY521625.1_00130	KC244182.1_00014
OG0000004	AY521625.1_00069, AY521625.1_00070	KC244182.1_00112
OG0000005	AY521625.1_00100	KC244182.1_00095
OG0000006	AY521625.1_00051	KC244182.1_00076
OG0000007	AY521625.1_00016	KC244182.1_00090
OG0000008	AY521625.1_00085	KC244182.1_00028
OG0000009	AY521625.1_00142	KC244182.1_00114
OG0000011	AY521625.1_00053	KC244182.1_00063
OG0000012	AY521625.1_00110	KC244182.1_00022
OG0000013	AY521625.1_00048	KC244182.1_00056
OG0000014	AY521625.1_00115	KC244182.1_00121
OG0000015	AY521625.1_00035	KC244182.1_00122
OG0000016	AY521625.1_00073	KC244182.1_00087
OG0000017	AY521625.1_00059	KC244182.1_00032
OG0000018	AY521625.1_00047	KC244182.1_00107
OG0000019	AY521625.1_00086	KC244182.1_00086
OG0000020	AY521625.1_00074	KC244182.1_00030
OG0000021	AY521625.1_00054	KC244182.1_00005
OG0000022	AY521625.1_00065	KC244182.1_00034
OG0000023	AY521625.1_00062	KC244182.1_00043
OG0000024	AY521625.1_00042	KC244182.1_00025
OG0000026	AY521625.1_00060	KC244182.1_00110
OG0000027	AY521625.1_00022	KC244182.1_00088
OG0000030	AY521625.1_00004	KC244182.1_00001
