Orthogroup	AY521625.1	MN562489.1
OG0000000	AY521625.1_00091	MN562489.1_00102
OG0000001	AY521625.1_00077	MN562489.1_00081
OG0000002	AY521625.1_00064	MN562489.1_00080
OG0000003	AY521625.1_00130	MN562489.1_00087
OG0000004	AY521625.1_00069, AY521625.1_00070	MN562489.1_00060
OG0000005	AY521625.1_00100	MN562489.1_00056
OG0000006	AY521625.1_00051	MN562489.1_00116
OG0000007	AY521625.1_00016	MN562489.1_00052
OG0000008	AY521625.1_00085	MN562489.1_00099
OG0000009	AY521625.1_00142	MN562489.1_00059
OG0000011	AY521625.1_00053	MN562489.1_00128
OG0000012	AY521625.1_00110	MN562489.1_00096
OG0000013	AY521625.1_00048	MN562489.1_00038
OG0000014	AY521625.1_00115	MN562489.1_00058
OG0000015	AY521625.1_00035	MN562489.1_00133
OG0000016	AY521625.1_00073	MN562489.1_00047
OG0000017	AY521625.1_00059	MN562489.1_00011
OG0000018	AY521625.1_00047	MN562489.1_00063
OG0000019	AY521625.1_00086	MN562489.1_00046
OG0000020	AY521625.1_00074	MN562489.1_00012
OG0000021	AY521625.1_00054	MN562489.1_00124
OG0000022	AY521625.1_00065	MN562489.1_00008
OG0000023	AY521625.1_00062	MN562489.1_00023
OG0000024	AY521625.1_00042	MN562489.1_00073
OG0000026	AY521625.1_00060	MN562489.1_00062
OG0000027	AY521625.1_00022	MN562489.1_00049
OG0000030	AY521625.1_00004	MN562489.1_00107
OG0000141	AY521625.1_00046	MN562489.1_00009, MN562489.1_00070
OG0000151	AY521625.1_00002	MN562489.1_00136
