Orthogroup	AY521625.1	BD143114.1
OG0000000	AY521625.1_00091	BD143114.1_00045
OG0000001	AY521625.1_00077	BD143114.1_00067
OG0000002	AY521625.1_00064	BD143114.1_00068
OG0000003	AY521625.1_00130	BD143114.1_00060
OG0000004	AY521625.1_00069, AY521625.1_00070	BD143114.1_00087
OG0000005	AY521625.1_00100	BD143114.1_00104
OG0000006	AY521625.1_00051	BD143114.1_00001
OG0000007	AY521625.1_00016	BD143114.1_00109
OG0000008	AY521625.1_00085	BD143114.1_00046
OG0000009	AY521625.1_00142	BD143114.1_00085
OG0000011	AY521625.1_00053	BD143114.1_00013
OG0000012	AY521625.1_00110	BD143114.1_00053
OG0000013	AY521625.1_00048	BD143114.1_00019
OG0000014	AY521625.1_00115	BD143114.1_00077
OG0000015	AY521625.1_00035	BD143114.1_00076
OG0000016	AY521625.1_00073	BD143114.1_00113
OG0000017	AY521625.1_00059	BD143114.1_00042
OG0000018	AY521625.1_00047	BD143114.1_00092
OG0000019	AY521625.1_00086	BD143114.1_00114
OG0000020	AY521625.1_00074	BD143114.1_00044
OG0000021	AY521625.1_00054	BD143114.1_00070
OG0000022	AY521625.1_00065	BD143114.1_00040
OG0000023	AY521625.1_00062	BD143114.1_00031
OG0000024	AY521625.1_00042	BD143114.1_00049
OG0000026	AY521625.1_00060	BD143114.1_00089
OG0000027	AY521625.1_00022	BD143114.1_00112
OG0000030	AY521625.1_00004	BD143114.1_00073
