Orthogroup	AY521625.1	OP009387.1
OG0000000	AY521625.1_00091	OP009387.1_00030
OG0000001	AY521625.1_00077	OP009387.1_00008
OG0000002	AY521625.1_00064	OP009387.1_00007
OG0000003	AY521625.1_00130	OP009387.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	OP009387.1_00112
OG0000005	AY521625.1_00100	OP009387.1_00095
OG0000006	AY521625.1_00051	OP009387.1_00077
OG0000007	AY521625.1_00016	OP009387.1_00091
OG0000008	AY521625.1_00085	OP009387.1_00029
OG0000009	AY521625.1_00142	OP009387.1_00113
OG0000011	AY521625.1_00053	OP009387.1_00064
OG0000012	AY521625.1_00110	OP009387.1_00023
OG0000013	AY521625.1_00048	OP009387.1_00057
OG0000014	AY521625.1_00115	OP009387.1_00121
OG0000015	AY521625.1_00035	OP009387.1_00122
OG0000016	AY521625.1_00073	OP009387.1_00088
OG0000017	AY521625.1_00059	OP009387.1_00033
OG0000018	AY521625.1_00047	OP009387.1_00107
OG0000019	AY521625.1_00086	OP009387.1_00087
OG0000020	AY521625.1_00074	OP009387.1_00031
OG0000021	AY521625.1_00054	OP009387.1_00005
OG0000022	AY521625.1_00065	OP009387.1_00035
OG0000023	AY521625.1_00062	OP009387.1_00044
OG0000024	AY521625.1_00042	OP009387.1_00026
OG0000026	AY521625.1_00060	OP009387.1_00110
OG0000027	AY521625.1_00022	OP009387.1_00089
OG0000030	AY521625.1_00004	OP009387.1_00001
