Orthogroup	AY521625.1	MN803438.1
OG0000000	AY521625.1_00091	MN803438.1_00124
OG0000001	AY521625.1_00077	MN803438.1_00101, MN803438.1_00056
OG0000002	AY521625.1_00064	MN803438.1_00023
OG0000003	AY521625.1_00130	MN803438.1_00113
OG0000004	AY521625.1_00069, AY521625.1_00070	MN803438.1_00104
OG0000005	AY521625.1_00100	MN803438.1_00071
OG0000006	AY521625.1_00051	MN803438.1_00142
OG0000007	AY521625.1_00016	MN803438.1_00027
OG0000008	AY521625.1_00085	MN803438.1_00106
OG0000009	AY521625.1_00142	MN803438.1_00109
OG0000011	AY521625.1_00053	MN803438.1_00049
OG0000012	AY521625.1_00110	MN803438.1_00128
OG0000013	AY521625.1_00048	MN803438.1_00007
OG0000014	AY521625.1_00115	MN803438.1_00070
OG0000015	AY521625.1_00035	MN803438.1_00046
OG0000016	AY521625.1_00073	MN803438.1_00122
OG0000017	AY521625.1_00059	MN803438.1_00035
OG0000018	AY521625.1_00047	MN803438.1_00051
OG0000019	AY521625.1_00086	MN803438.1_00097
OG0000020	AY521625.1_00074	MN803438.1_00068
OG0000021	AY521625.1_00054	MN803438.1_00089
OG0000022	AY521625.1_00065	MN803438.1_00013
OG0000023	AY521625.1_00062	MN803438.1_00077
OG0000024	AY521625.1_00042	MN803438.1_00024
OG0000026	AY521625.1_00060	MN803438.1_00126
OG0000027	AY521625.1_00022	MN803438.1_00037
OG0000113	AY521625.1_00036	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125
OG0000134	AY521625.1_00098	MN803438.1_00115
OG0000135	AY521625.1_00102	MN803438.1_00006
OG0000137	AY521625.1_00056	MN803438.1_00105
OG0000151	AY521625.1_00002	MN803438.1_00010
OG0000158	AY521625.1_00018	MN803438.1_00003
OG0000160	AY521625.1_00126	MN803438.1_00078
OG0000176	AY521625.1_00005	MN803438.1_00028
OG0000177	AY521625.1_00011	MN803438.1_00030
OG0000178	AY521625.1_00140	MN803438.1_00092
OG0000206	AY521625.1_00066	MN803438.1_00044
OG0000232	AY521625.1_00023	MN803438.1_00110
OG0000233	AY521625.1_00057	MN803438.1_00140
OG0000234	AY521625.1_00061	MN803438.1_00008
OG0000235	AY521625.1_00094	MN803438.1_00026
OG0000236	AY521625.1_00116	MN803438.1_00136
OG0000237	AY521625.1_00128	MN803438.1_00099
OG0000291	AY521625.1_00055	MN803438.1_00004
OG0000367	AY521625.1_00097	MN803438.1_00121
