Orthogroup	MG570132.1	AF303741.1
OG0000000	MG570132.1_00031	AF303741.1_00079, AF303741.1_00152
OG0000001	MG570132.1_00009	AF303741.1_00200, AF303741.1_00047
OG0000002	MG570132.1_00008, MG570132.1_00007	AF303741.1_00125
OG0000003	MG570132.1_00016	AF303741.1_00035
OG0000004	MG570132.1_00108	AF303741.1_00080
OG0000005	MG570132.1_00092	AF303741.1_00129
OG0000006	MG570132.1_00073	AF303741.1_00132
OG0000007	MG570132.1_00087	AF303741.1_00149
OG0000008	MG570132.1_00030	AF303741.1_00165
OG0000009	MG570132.1_00110	AF303741.1_00176
OG0000011	MG570132.1_00063	AF303741.1_00006
OG0000012	MG570132.1_00023	AF303741.1_00011
OG0000013	MG570132.1_00057	AF303741.1_00023
OG0000014	MG570132.1_00118	AF303741.1_00026
OG0000015	MG570132.1_00119	AF303741.1_00046
OG0000016	MG570132.1_00084	AF303741.1_00062
OG0000017	MG570132.1_00034	AF303741.1_00063
OG0000018	MG570132.1_00103	AF303741.1_00081
OG0000019	MG570132.1_00083	AF303741.1_00137
OG0000020	MG570132.1_00032	AF303741.1_00156
OG0000021	MG570132.1_00005	AF303741.1_00158
OG0000022	MG570132.1_00036	AF303741.1_00189
OG0000023	MG570132.1_00045	AF303741.1_00154
OG0000024	MG570132.1_00028	AF303741.1_00168
OG0000025	MG570132.1_00064	AF303741.1_00051
