Orthogroup	MN562489	MF599468
OG0000000	OM037668.1_00035 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	OM037668.1_00056 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	SDDV_ORF038 Flap endonuclease	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	OM037668.1_00077 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	OM037668.1_00013 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	OM037668.1_00057 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	OM037668.1_00041 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	OM037668.1_00123 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	OM037668.1_00124 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000010	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	OM037668.1_00098 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000012	OM037668.1_00009 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000013	OM037668.1_00090 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	OM037668.1_00084 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	OM037668.1_00073 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000016	OM037668.1_00078 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000017	OM037668.1_00004 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000019	OM037668.1_00021 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	OM037668.1_00089 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	OM037668.1_00080 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	OM037668.1_00076 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000029	OM037668.1_00097 hypothetical protein	MF599468.1_00013 MF599468.1 - hypothetical protein translation
OG0000184	OM037668.1_00023 hypothetical protein	MF599468.1_00098 MF599468.1 - Thymidylate kinase translation
