Orthogroup	AY894343.1	L63545.1
OG0000000	AY894343.1_00029	L63545.1_00007
OG0000001	AY894343.1_00008	L63545.1_00035
OG0000002	AY894343.1_00007	L63545.1_00079
OG0000003	AY894343.1_00015	L63545.1_00076
OG0000004	AY894343.1_00113	L63545.1_00001
OG0000005	AY894343.1_00096	L63545.1_00056
OG0000006	AY894343.1_00076	L63545.1_00093
OG0000007	AY894343.1_00090	L63545.1_00090
OG0000008	AY894343.1_00028	L63545.1_00108
OG0000009	AY894343.1_00115	L63545.1_00024
OG0000011	AY894343.1_00063	L63545.1_00069
OG0000012	AY894343.1_00021	L63545.1_00071
OG0000013	AY894343.1_00056	L63545.1_00004
OG0000014	AY894343.1_00123	L63545.1_00030
OG0000015	AY894343.1_00124	L63545.1_00110
OG0000016	AY894343.1_00087	L63545.1_00073
OG0000017	AY894343.1_00032	L63545.1_00072
OG0000018	AY894343.1_00108	L63545.1_00068
OG0000019	AY894343.1_00086	L63545.1_00009
OG0000020	AY894343.1_00030	L63545.1_00098
OG0000021	AY894343.1_00005	L63545.1_00043
OG0000022	AY894343.1_00034	L63545.1_00013
OG0000023	AY894343.1_00043	L63545.1_00054
OG0000024	AY894343.1_00025	L63545.1_00015
OG0000026	AY894343.1_00111	L63545.1_00002
OG0000027	AY894343.1_00088	L63545.1_00058
OG0000028	AY894343.1_00046	L63545.1_00003
