Orthogroup	MG570132	MF599468
OG0000000	MG570132.1_00031 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	MG570132.1_00016 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000002	MG570132.1_00009 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000003	MG570132.1_00030 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	MG570132.1_00110 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	MG570132.1_00063 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000006	MG570132.1_00023 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000007	MG570132.1_00057 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000008	MG570132.1_00118 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000009	MG570132.1_00119 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000010	MG570132.1_00034 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000011	MG570132.1_00103 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000012	MG570132.1_00008 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000013	MG570132.1_00083 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	MG570132.1_00087 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	MG570132.1_00032 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000016	MG570132.1_00005 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000017	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	MG570132.1_00084 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000019	MG570132.1_00108 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000020	MG570132.1_00092 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000023	MG570132.1_00073 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000066	MG570132.1_00095 hypothetical protein	MF599468.1_00131 MF599468.1 - hypothetical protein translation
