Orthogroup	MW139932.1	MN803438.1
OG0000000	MW139932.1_00033	MN803438.1_00124
OG0000001	MW139932.1_00007	MN803438.1_00023
OG0000003	MW139932.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	MW139932.1_00015	MN803438.1_00113
OG0000005	MW139932.1_00032	MN803438.1_00106
OG0000006	MW139932.1_00077	MN803438.1_00142
OG0000007	MW139932.1_00091	MN803438.1_00027
OG0000008	MW139932.1_00113	MN803438.1_00104
OG0000009	MW139932.1_00115	MN803438.1_00109
OG0000010	MW139932.1_00005	MN803438.1_00089
OG0000011	MW139932.1_00023	MN803438.1_00128
OG0000012	MW139932.1_00034	MN803438.1_00068
OG0000013	MW139932.1_00036	MN803438.1_00035
OG0000014	MW139932.1_00038	MN803438.1_00013
OG0000015	MW139932.1_00059	MN803438.1_00007
OG0000016	MW139932.1_00065	MN803438.1_00049
OG0000017	MW139932.1_00087	MN803438.1_00097
OG0000018	MW139932.1_00088	MN803438.1_00122
OG0000019	MW139932.1_00108	MN803438.1_00051
OG0000020	MW139932.1_00123	MN803438.1_00070
OG0000021	MW139932.1_00124	MN803438.1_00046
OG0000022	MW139932.1_00047	MN803438.1_00077
OG0000023	MW139932.1_00096	MN803438.1_00071
OG0000024	MW139932.1_00111	MN803438.1_00126
OG0000026	MW139932.1_00089	MN803438.1_00037
OG0000027	MW139932.1_00050	MN803438.1_00054
OG0000028	MW139932.1_00006	MN803438.1_00145
