Orthogroup	MW139932.1	NC_005946.1
OG0000000	MW139932.1_00033	NC_005946.1_00010
OG0000001	MW139932.1_00007	NC_005946.1_00091
OG0000003	MW139932.1_00008	NC_005946.1_00053
OG0000004	MW139932.1_00015	NC_005946.1_00057
OG0000005	MW139932.1_00032	NC_005946.1_00095
OG0000006	MW139932.1_00077	NC_005946.1_00042
OG0000007	MW139932.1_00091	NC_005946.1_00002
OG0000008	MW139932.1_00113	NC_005946.1_00028
OG0000009	MW139932.1_00115	NC_005946.1_00092
OG0000010	MW139932.1_00005	NC_005946.1_00038
OG0000011	MW139932.1_00023	NC_005946.1_00060
OG0000012	MW139932.1_00034	NC_005946.1_00083
OG0000013	MW139932.1_00036	NC_005946.1_00087
OG0000014	MW139932.1_00038	NC_005946.1_00061
OG0000015	MW139932.1_00059	NC_005946.1_00022
OG0000016	MW139932.1_00065	NC_005946.1_00011
OG0000017	MW139932.1_00087	NC_005946.1_00094
OG0000018	MW139932.1_00088	NC_005946.1_00082
OG0000019	MW139932.1_00108	NC_005946.1_00023
OG0000020	MW139932.1_00123	NC_005946.1_00016
OG0000021	MW139932.1_00124	NC_005946.1_00021
OG0000022	MW139932.1_00047	NC_005946.1_00089
OG0000023	MW139932.1_00096	NC_005946.1_00014
OG0000024	MW139932.1_00111	NC_005946.1_00086
OG0000026	MW139932.1_00089	NC_005946.1_00049
OG0000027	MW139932.1_00050	NC_005946.1_00085
OG0000112	MW139932.1_00081	NC_005946.1_00006
