Orthogroup	MW139932.1	MF599468.1
OG0000000	MW139932.1_00033	MF599468.1_00057, MF599468.1_00056
OG0000001	MW139932.1_00007	MF599468.1_00152
OG0000003	MW139932.1_00008	MF599468.1_00163
OG0000004	MW139932.1_00015	MF599468.1_00011
OG0000005	MW139932.1_00032	MF599468.1_00030
OG0000006	MW139932.1_00077	MF599468.1_00010
OG0000007	MW139932.1_00091	MF599468.1_00174
OG0000008	MW139932.1_00113	MF599468.1_00092
OG0000009	MW139932.1_00115	MF599468.1_00075
OG0000010	MW139932.1_00005	MF599468.1_00116
OG0000011	MW139932.1_00023	MF599468.1_00112
OG0000012	MW139932.1_00034	MF599468.1_00090
OG0000013	MW139932.1_00036	MF599468.1_00035
OG0000014	MW139932.1_00038	MF599468.1_00071
OG0000015	MW139932.1_00059	MF599468.1_00033
OG0000016	MW139932.1_00065	MF599468.1_00149
OG0000017	MW139932.1_00087	MF599468.1_00106
OG0000018	MW139932.1_00088	MF599468.1_00046
OG0000019	MW139932.1_00108	MF599468.1_00117
OG0000020	MW139932.1_00123	MF599468.1_00122
OG0000021	MW139932.1_00124	MF599468.1_00009
OG0000022	MW139932.1_00047	MF599468.1_00171
OG0000023	MW139932.1_00096	MF599468.1_00154
OG0000024	MW139932.1_00111	MF599468.1_00039
OG0000046	MW139932.1_00060	MF599468.1_00013
OG0000069	MW139932.1_00099	MF599468.1_00131
