Orthogroup	MW139932.1	AY521625.1
OG0000000	MW139932.1_00033	AY521625.1_00091
OG0000001	MW139932.1_00007	AY521625.1_00064
OG0000003	MW139932.1_00008	AY521625.1_00077
OG0000004	MW139932.1_00015	AY521625.1_00130
OG0000005	MW139932.1_00032	AY521625.1_00085
OG0000006	MW139932.1_00077	AY521625.1_00051
OG0000007	MW139932.1_00091	AY521625.1_00016
OG0000008	MW139932.1_00113	AY521625.1_00069, AY521625.1_00070
OG0000009	MW139932.1_00115	AY521625.1_00142
OG0000010	MW139932.1_00005	AY521625.1_00054
OG0000011	MW139932.1_00023	AY521625.1_00110
OG0000012	MW139932.1_00034	AY521625.1_00074
OG0000013	MW139932.1_00036	AY521625.1_00059
OG0000014	MW139932.1_00038	AY521625.1_00065
OG0000015	MW139932.1_00059	AY521625.1_00048
OG0000016	MW139932.1_00065	AY521625.1_00053
OG0000017	MW139932.1_00087	AY521625.1_00086
OG0000018	MW139932.1_00088	AY521625.1_00073
OG0000019	MW139932.1_00108	AY521625.1_00047
OG0000020	MW139932.1_00123	AY521625.1_00115
OG0000021	MW139932.1_00124	AY521625.1_00035
OG0000022	MW139932.1_00047	AY521625.1_00062
OG0000023	MW139932.1_00096	AY521625.1_00100
OG0000024	MW139932.1_00111	AY521625.1_00060
OG0000026	MW139932.1_00089	AY521625.1_00022
OG0000030	MW139932.1_00001	AY521625.1_00004
