Orthogroup	AY532606.1	LS484712.1
OG0000000	AY532606.1_00030	LS484712.1_00114
OG0000001	AY532606.1_00006	LS484712.1_00142
OG0000003	AY532606.1_00007	LS484712.1_00095
OG0000004	AY532606.1_00014	LS484712.1_00187
OG0000005	AY532606.1_00029	LS484712.1_00248
OG0000006	AY532606.1_00078	LS484712.1_00040
OG0000007	AY532606.1_00093	LS484712.1_00234, LS484712.1_00050
OG0000009	AY532606.1_00120, AY532606.1_00119	LS484712.1_00130
OG0000010	AY532606.1_00004	LS484712.1_00096
OG0000011	AY532606.1_00020	LS484712.1_00200
OG0000012	AY532606.1_00031	LS484712.1_00188
OG0000013	AY532606.1_00033	LS484712.1_00240
OG0000014	AY532606.1_00035	LS484712.1_00194
OG0000015	AY532606.1_00057	LS484712.1_00143
OG0000016	AY532606.1_00064	LS484712.1_00203
OG0000017	AY532606.1_00088	LS484712.1_00192
OG0000018	AY532606.1_00089	LS484712.1_00048
OG0000019	AY532606.1_00111	LS484712.1_00053
OG0000020	AY532606.1_00125	LS484712.1_00202
OG0000021	AY532606.1_00126	LS484712.1_00135
OG0000068	AY532606.1_00069	LS484712.1_00002
