Orthogroup	HF920633	MF599468
OG0000000	HF920633.1_00044 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	HF920633.1_00127 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000002	HF920633.1_00069 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000003	HF920633.1_00043 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	HF920633.1_00122 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	HF920633.1_00118 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000006	HF920633.1_00001 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000007	HF920633.1_00067 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000008	HF920633.1_00138 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000009	HF920633.1_00058 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000010	HF920633.1_00158 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000011	HF920633.1_00003 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000012	HF920633.1_00073 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000013	HF920633.1_00163 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	HF920633.1_00091 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	HF920633.1_00080 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000016	HF920633.1_00097 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000017	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	HF920633.1_00094 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000019	HF920633.1_00079 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000020	HF920633.1_00085 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000023	HF920633.1_00025 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000064	HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein	MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation
OG0000114	HF920633.1_00086 hypothetical protein	MF599468.1_00096 MF599468.1 - hypothetical protein translation
OG0000122	HF920633.1_00116 hypothetical protein	MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation
OG0000130	HF920633.1_00135 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation
