Orthogroup	HF920633	MT926123
OG0000000	HF920633.1_00044 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000001	HF920633.1_00127 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000002	HF920633.1_00069 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000004	HF920633.1_00122 hypothetical protein	AF371960.1_00113 hypothetical protein
OG0000005	HF920633.1_00118 hypothetical protein	AF371960.1_00064 hypothetical protein
OG0000006	HF920633.1_00001 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000007	HF920633.1_00067 hypothetical protein	AF371960.1_00057 hypothetical protein
OG0000008	HF920633.1_00138 hypothetical protein	AF371960.1_00121 hypothetical protein
OG0000009	HF920633.1_00058 hypothetical protein	AF371960.1_00122 hypothetical protein
OG0000010	HF920633.1_00158 hypothetical protein	AF371960.1_00034 hypothetical protein
OG0000011	HF920633.1_00003 hypothetical protein	AF371960.1_00107 hypothetical protein
OG0000012	HF920633.1_00073 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000013	HF920633.1_00163 hypothetical protein	AF371960.1_00088 hypothetical protein
OG0000014	HF920633.1_00091 hypothetical protein	AF371960.1_00092 hypothetical protein
OG0000015	HF920633.1_00080 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000016	HF920633.1_00097 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000017	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000018	HF920633.1_00094 hypothetical protein	AF371960.1_00089 hypothetical protein
OG0000019	HF920633.1_00079 hypothetical protein	AF371960.1_00112 hypothetical protein
OG0000020	HF920633.1_00085 hypothetical protein	AF371960.1_00096 hypothetical protein
OG0000021	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000022	HF920633.1_00017 hypothetical protein	AF371960.1_00045 hypothetical protein
OG0000023	HF920633.1_00025 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000026	HF920633.1_00047 hypothetical protein	AF371960.1_00065 hypothetical protein
