Orthogroup	HF920633	KX643370
OG0000000	HF920633.1_00044 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	HF920633.1_00127 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	HF920633.1_00069 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	HF920633.1_00122 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	HF920633.1_00118 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	HF920633.1_00001 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	HF920633.1_00067 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	HF920633.1_00138 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	HF920633.1_00058 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	HF920633.1_00158 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	HF920633.1_00003 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	HF920633.1_00073 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	HF920633.1_00163 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	HF920633.1_00091 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	HF920633.1_00080 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	HF920633.1_00097 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	HF920633.1_00094 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	HF920633.1_00079 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	HF920633.1_00085 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000022	HF920633.1_00017 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	HF920633.1_00025 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000114	HF920633.1_00086 hypothetical protein	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000130	HF920633.1_00135 hypothetical protein	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000133	HF920633.1_00132 hypothetical protein	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000134	HF920633.1_00053 hypothetical protein	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000135	HF920633.1_00156 Thymidylate synthase	Lymph_LDV3_KX643370_00042 Thymidylate synthase
OG0000139	HF920633.1_00064 hypothetical protein	Lymph_LDV3_KX643370_00043 hypothetical protein
OG0000146	HF920633.1_00036 hypothetical protein	Lymph_LDV3_KX643370_00140 hypothetical protein
OG0000150	HF920633.1_00024 hypothetical protein	Lymph_LDV3_KX643370_00149 hypothetical protein
OG0000167	HF920633.1_00171 hypothetical protein	Lymph_LDV3_KX643370_00060 hypothetical protein
OG0000169	HF920633.1_00034 hypothetical protein	Lymph_LDV3_KX643370_00080 hypothetical protein
OG0000198	HF920633.1_00139 hypothetical protein	Lymph_LDV3_KX643370_00020 hypothetical protein
