Orthogroup	HF920633	AF303741
OG0000000	HF920633.1_00044 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	HF920633.1_00127 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000002	HF920633.1_00069 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	HF920633.1_00122 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	HF920633.1_00118 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000006	HF920633.1_00001 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000007	HF920633.1_00067 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000008	HF920633.1_00138 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000009	HF920633.1_00058 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000010	HF920633.1_00158 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000011	HF920633.1_00003 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000012	HF920633.1_00073 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000013	HF920633.1_00163 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000014	HF920633.1_00091 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000015	HF920633.1_00080 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000016	HF920633.1_00097 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000017	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000018	HF920633.1_00094 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000019	HF920633.1_00079 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000020	HF920633.1_00085 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000021	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000022	HF920633.1_00017 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000023	HF920633.1_00025 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000026	HF920633.1_00047 hypothetical protein	AF303741.1_00051 Dual specificity protein phosphatase H1
OG0000064	HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein	AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein
OG0000114	HF920633.1_00086 hypothetical protein	AF303741.1_00170 hypothetical protein
OG0000121	HF920633.1_00147 hypothetical protein	AF303741.1_00178 hypothetical protein
OG0000121	HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein	AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein
OG0000123	HF920633.1_00081 hypothetical protein, HF920633.1_00059 hypothetical protein, HF920633.1_00119 hypothetical protein	AF303741.1_00088 hypothetical protein
OG0000129	HF920633.1_00004 hypothetical protein	AF303741.1_00130 hypothetical protein, AF303741.1_00089 hypothetical protein
OG0000130	HF920633.1_00135 hypothetical protein	AF303741.1_00126 hypothetical protein
OG0000133	HF920633.1_00132 hypothetical protein	AF303741.1_00031 hypothetical protein
OG0000134	HF920633.1_00053 hypothetical protein	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein
OG0000135	HF920633.1_00156 Thymidylate synthase	AF303741.1_00101 Thymidylate synthase
OG0000138	HF920633.1_00026 hypothetical protein	AF303741.1_00072 hypothetical protein
OG0000139	HF920633.1_00064 hypothetical protein	AF303741.1_00157 hypothetical protein
OG0000140	HF920633.1_00104 hypothetical protein	AF303741.1_00185 hypothetical protein
OG0000144	HF920633.1_00129 hypothetical protein	AF303741.1_00070 hypothetical protein
OG0000144	HF920633.1_00099 hypothetical protein, HF920633.1_00019 hypothetical protein, HF920633.1_00100 hypothetical protein	AF303741.1_00099 hypothetical protein
OG0000145	HF920633.1_00088 hypothetical protein	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein
OG0000146	HF920633.1_00036 hypothetical protein	AF303741.1_00183 hypothetical protein
OG0000147	HF920633.1_00106 hypothetical protein	AF303741.1_00192 hypothetical protein
OG0000155	HF920633.1_00030 hypothetical protein	AF303741.1_00147 hypothetical protein, AF303741.1_00049 hypothetical protein, AF303741.1_00078 hypothetical protein, AF303741.1_00083 hypothetical protein
OG0000156	HF920633.1_00134 hypothetical protein	AF303741.1_00056 hypothetical protein
OG0000157	HF920633.1_00039 hypothetical protein	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein
OG0000158	HF920633.1_00105 hypothetical protein	AF303741.1_00076 hypothetical protein
OG0000159	HF920633.1_00082 hypothetical protein	AF303741.1_00087 hypothetical protein
OG0000160	HF920633.1_00169 DNA ligase	AF303741.1_00091 DNA ligase
OG0000161	HF920633.1_00177 hypothetical protein	AF303741.1_00096 hypothetical protein
OG0000162	HF920633.1_00144 hypothetical protein	AF303741.1_00105 hypothetical protein
OG0000163	HF920633.1_00145 hypothetical protein	AF303741.1_00169 hypothetical protein
OG0000164	HF920633.1_00046 hypothetical protein	AF303741.1_00179 hypothetical protein
OG0000165	HF920633.1_00161 hypothetical protein, HF920633.1_00031 hypothetical protein	AF303741.1_00181 hypothetical protein
OG0000166	HF920633.1_00096 hypothetical protein	AF303741.1_00182 hypothetical protein
