Orthogroup	ON743042.1	OL774653.1
OG0000000	ON743042.1_00031	OL774653.1_00051
OG0000001	ON743042.1_00008	OL774653.1_00026
OG0000002	ON743042.1_00007	OL774653.1_00025
OG0000003	ON743042.1_00015	OL774653.1_00032
OG0000004	ON743042.1_00113	OL774653.1_00006
OG0000005	ON743042.1_00096	OL774653.1_00114
OG0000006	ON743042.1_00077	OL774653.1_00094
OG0000007	ON743042.1_00091	OL774653.1_00108
OG0000008	ON743042.1_00030	OL774653.1_00050
OG0000009	ON743042.1_00115	OL774653.1_00008
OG0000010	ON743042.1_00078	OL774653.1_00095
OG0000011	ON743042.1_00065	OL774653.1_00082
OG0000012	ON743042.1_00022	OL774653.1_00039
OG0000013	ON743042.1_00059	OL774653.1_00076
OG0000014	ON743042.1_00123	OL774653.1_00016
OG0000015	ON743042.1_00124	OL774653.1_00017
OG0000016	ON743042.1_00088	OL774653.1_00105
OG0000017	ON743042.1_00034	OL774653.1_00054
OG0000018	ON743042.1_00108	OL774653.1_00001
OG0000019	ON743042.1_00087	OL774653.1_00104
OG0000020	ON743042.1_00032	OL774653.1_00052
OG0000021	ON743042.1_00005	OL774653.1_00023
OG0000022	ON743042.1_00036	OL774653.1_00056
OG0000023	ON743042.1_00046	OL774653.1_00065
OG0000024	ON743042.1_00027	OL774653.1_00047
OG0000025	ON743042.1_00066	OL774653.1_00083
OG0000026	ON743042.1_00111	OL774653.1_00004
OG0000027	ON743042.1_00089	OL774653.1_00106
OG0000028	ON743042.1_00049	OL774653.1_00068
OG0000029	ON743042.1_00063	OL774653.1_00080
OG0000030	ON743042.1_00001	OL774653.1_00019
OG0000031	ON743042.1_00006	OL774653.1_00024
OG0000033	ON743042.1_00090	OL774653.1_00107
OG0000034	ON743042.1_00125	OL774653.1_00018
OG0000035	ON743042.1_00013	OL774653.1_00030
OG0000036	ON743042.1_00014	OL774653.1_00031
OG0000037	ON743042.1_00019	OL774653.1_00036
OG0000038	ON743042.1_00020	OL774653.1_00037
OG0000039	ON743042.1_00023	OL774653.1_00040
OG0000040	ON743042.1_00024	OL774653.1_00041
OG0000041	ON743042.1_00033	OL774653.1_00053
OG0000042	ON743042.1_00037	OL774653.1_00057
OG0000043	ON743042.1_00051	OL774653.1_00069
