Orthogroup	ON743042.1	HF920633.1
OG0000000	ON743042.1_00031	HF920633.1_00044
OG0000001	ON743042.1_00008	HF920633.1_00069
OG0000002	ON743042.1_00007	HF920633.1_00073
OG0000003	ON743042.1_00015	HF920633.1_00127
OG0000004	ON743042.1_00113	HF920633.1_00079
OG0000005	ON743042.1_00096	HF920633.1_00085
OG0000006	ON743042.1_00077	HF920633.1_00025
OG0000007	ON743042.1_00091	HF920633.1_00091
OG0000008	ON743042.1_00030	HF920633.1_00043
OG0000009	ON743042.1_00115	HF920633.1_00122
OG0000011	ON743042.1_00065	HF920633.1_00118
OG0000012	ON743042.1_00022	HF920633.1_00001
OG0000013	ON743042.1_00059	HF920633.1_00067
OG0000014	ON743042.1_00123	HF920633.1_00138
OG0000015	ON743042.1_00124	HF920633.1_00058
OG0000016	ON743042.1_00088	HF920633.1_00094
OG0000017	ON743042.1_00034	HF920633.1_00158
OG0000018	ON743042.1_00108	HF920633.1_00003
OG0000019	ON743042.1_00087	HF920633.1_00163
OG0000020	ON743042.1_00032	HF920633.1_00080
OG0000021	ON743042.1_00005	HF920633.1_00097
OG0000022	ON743042.1_00036	HF920633.1_00175
OG0000023	ON743042.1_00046	HF920633.1_00017
OG0000024	ON743042.1_00027	HF920633.1_00062
OG0000025	ON743042.1_00066	HF920633.1_00047
