Orthogroup	ON743042.1	AY521625.1
OG0000000	ON743042.1_00031	AY521625.1_00091
OG0000001	ON743042.1_00008	AY521625.1_00077
OG0000002	ON743042.1_00007	AY521625.1_00064
OG0000003	ON743042.1_00015	AY521625.1_00130
OG0000004	ON743042.1_00113	AY521625.1_00069, AY521625.1_00070
OG0000005	ON743042.1_00096	AY521625.1_00100
OG0000006	ON743042.1_00077	AY521625.1_00051
OG0000007	ON743042.1_00091	AY521625.1_00016
OG0000008	ON743042.1_00030	AY521625.1_00085
OG0000009	ON743042.1_00115	AY521625.1_00142
OG0000011	ON743042.1_00065	AY521625.1_00053
OG0000012	ON743042.1_00022	AY521625.1_00110
OG0000013	ON743042.1_00059	AY521625.1_00048
OG0000014	ON743042.1_00123	AY521625.1_00115
OG0000015	ON743042.1_00124	AY521625.1_00035
OG0000016	ON743042.1_00088	AY521625.1_00073
OG0000017	ON743042.1_00034	AY521625.1_00059
OG0000018	ON743042.1_00108	AY521625.1_00047
OG0000019	ON743042.1_00087	AY521625.1_00086
OG0000020	ON743042.1_00032	AY521625.1_00074
OG0000021	ON743042.1_00005	AY521625.1_00054
OG0000022	ON743042.1_00036	AY521625.1_00065
OG0000023	ON743042.1_00046	AY521625.1_00062
OG0000024	ON743042.1_00027	AY521625.1_00042
OG0000026	ON743042.1_00111	AY521625.1_00060
OG0000027	ON743042.1_00089	AY521625.1_00022
OG0000030	ON743042.1_00001	AY521625.1_00004
