Orthogroup	MT521409.1	MK689686.1
OG0000000	MT521409.1_00103	MK689686.1_00029
OG0000001	MT521409.1_00081	MK689686.1_00007
OG0000002	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132	MK689686.1_00075
OG0000003	MT521409.1_00082	MK689686.1_00008
OG0000004	MT521409.1_00088	MK689686.1_00014
OG0000005	MT521409.1_00100	MK689686.1_00028
OG0000006	MT521409.1_00117	MK689686.1_00074
OG0000007	MT521409.1_00053	MK689686.1_00088
OG0000008	MT521409.1_00061	MK689686.1_00110
OG0000009	MT521409.1_00060	MK689686.1_00112
OG0000010	MT521409.1_00125	MK689686.1_00005
OG0000011	MT521409.1_00097	MK689686.1_00021
OG0000012	MT521409.1_00012	MK689686.1_00030
OG0000013	MT521409.1_00011	MK689686.1_00032
OG0000014	MT521409.1_00008	MK689686.1_00034
OG0000015	MT521409.1_00039	MK689686.1_00056
OG0000016	MT521409.1_00129	MK689686.1_00062
OG0000017	MT521409.1_00047	MK689686.1_00084
OG0000018	MT521409.1_00048	MK689686.1_00085
OG0000019	MT521409.1_00064	MK689686.1_00105
OG0000020	MT521409.1_00059	MK689686.1_00120
OG0000021	MT521409.1_00134	MK689686.1_00121
OG0000022	MT521409.1_00024	MK689686.1_00043
OG0000023	MT521409.1_00057	MK689686.1_00093
OG0000024	MT521409.1_00063	MK689686.1_00108
OG0000025	MT521409.1_00114	MK689686.1_00063
OG0000026	MT521409.1_00050	MK689686.1_00086
OG0000027	MT521409.1_00027	MK689686.1_00046
OG0000028	MT521409.1_00127	MK689686.1_00006
OG0000029	MT521409.1_00042	MK689686.1_00060
OG0000030	MT521409.1_00108	MK689686.1_00001
OG0000031	MT521409.1_00119	MK689686.1_00079
OG0000032	MT521409.1_00051	MK689686.1_00087
OG0000033	MT521409.1_00110	MK689686.1_00122
OG0000034	MT521409.1_00087	MK689686.1_00012
OG0000035	MT521409.1_00133	MK689686.1_00013
OG0000036	MT521409.1_00092	MK689686.1_00018
OG0000037	MT521409.1_00093	MK689686.1_00019
OG0000038	MT521409.1_00098	MK689686.1_00022
OG0000039	MT521409.1_00090	MK689686.1_00023
OG0000040	MT521409.1_00135	MK689686.1_00031
OG0000041	MT521409.1_00013	MK689686.1_00035
OG0000042	MT521409.1_00031	MK689686.1_00048
OG0000043	MT521409.1_00032	MK689686.1_00049
OG0000044	MT521409.1_00037	MK689686.1_00054
OG0000045	MT521409.1_00038	MK689686.1_00055
OG0000046	MT521409.1_00040	MK689686.1_00057
OG0000047	MT521409.1_00052	MK689686.1_00058
OG0000048	MT521409.1_00041	MK689686.1_00059
OG0000049	MT521409.1_00118	MK689686.1_00076
OG0000050	MT521409.1_00120	MK689686.1_00080
OG0000051	MT521409.1_00005	MK689686.1_00081
OG0000052	MT521409.1_00056	MK689686.1_00092
OG0000053	MT521409.1_00106	MK689686.1_00094
OG0000054	MT521409.1_00105	MK689686.1_00097
OG0000055	MT521409.1_00062	MK689686.1_00109
OG0000056	MT521409.1_00058	MK689686.1_00114
OG0000057	MT521409.1_00001	MK689686.1_00116
OG0000058	MT521409.1_00107	MK689686.1_00002
OG0000059	MT521409.1_00084	MK689686.1_00010
OG0000060	MT521409.1_00091	MK689686.1_00017
OG0000061	MT521409.1_00054	MK689686.1_00089
OG0000062	MT521409.1_00074	MK689686.1_00025
OG0000096	MT521409.1_00046	MK689686.1_00118
OG0000115	MT521409.1_00036	MK689686.1_00053
