Orthogroup	MT521409.1	BD143114.1
OG0000000	MT521409.1_00103	BD143114.1_00045
OG0000001	MT521409.1_00081	BD143114.1_00068
OG0000002	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132	BD143114.1_00123
OG0000003	MT521409.1_00082	BD143114.1_00067
OG0000004	MT521409.1_00088	BD143114.1_00060
OG0000005	MT521409.1_00100	BD143114.1_00046
OG0000006	MT521409.1_00117	BD143114.1_00001
OG0000007	MT521409.1_00053	BD143114.1_00109
OG0000008	MT521409.1_00061	BD143114.1_00087
OG0000009	MT521409.1_00060	BD143114.1_00085
OG0000010	MT521409.1_00125	BD143114.1_00070
OG0000011	MT521409.1_00097	BD143114.1_00053
OG0000012	MT521409.1_00012	BD143114.1_00044
OG0000013	MT521409.1_00011	BD143114.1_00042
OG0000014	MT521409.1_00008	BD143114.1_00040
OG0000015	MT521409.1_00039	BD143114.1_00019
OG0000016	MT521409.1_00129	BD143114.1_00013
OG0000017	MT521409.1_00047	BD143114.1_00114
OG0000018	MT521409.1_00048	BD143114.1_00113
OG0000019	MT521409.1_00064	BD143114.1_00092
OG0000020	MT521409.1_00059	BD143114.1_00077
OG0000021	MT521409.1_00134	BD143114.1_00076
OG0000022	MT521409.1_00024	BD143114.1_00031
OG0000023	MT521409.1_00057	BD143114.1_00104
OG0000024	MT521409.1_00063	BD143114.1_00089
OG0000025	MT521409.1_00114	BD143114.1_00012
OG0000026	MT521409.1_00050	BD143114.1_00112
OG0000027	MT521409.1_00027	BD143114.1_00028
OG0000028	MT521409.1_00127	BD143114.1_00069
OG0000029	MT521409.1_00042	BD143114.1_00015
OG0000030	MT521409.1_00108	BD143114.1_00073
OG0000031	MT521409.1_00119	BD143114.1_00119
OG0000032	MT521409.1_00051	BD143114.1_00110, BD143114.1_00111
OG0000033	MT521409.1_00110	BD143114.1_00074, BD143114.1_00075
OG0000034	MT521409.1_00087	BD143114.1_00062
OG0000035	MT521409.1_00133	BD143114.1_00061
OG0000036	MT521409.1_00092	BD143114.1_00056
OG0000037	MT521409.1_00093	BD143114.1_00055
OG0000038	MT521409.1_00098	BD143114.1_00052
OG0000039	MT521409.1_00090	BD143114.1_00051
OG0000040	MT521409.1_00135	BD143114.1_00043
OG0000041	MT521409.1_00013	BD143114.1_00039
OG0000042	MT521409.1_00031	BD143114.1_00027
OG0000043	MT521409.1_00032	BD143114.1_00026
OG0000044	MT521409.1_00037	BD143114.1_00021
OG0000045	MT521409.1_00038	BD143114.1_00020
OG0000046	MT521409.1_00040	BD143114.1_00018
OG0000047	MT521409.1_00052	BD143114.1_00017
OG0000048	MT521409.1_00041	BD143114.1_00016
OG0000049	MT521409.1_00118	BD143114.1_00122
OG0000050	MT521409.1_00120	BD143114.1_00118
OG0000051	MT521409.1_00005	BD143114.1_00117
OG0000052	MT521409.1_00056	BD143114.1_00105
OG0000053	MT521409.1_00106	BD143114.1_00103
OG0000054	MT521409.1_00105	BD143114.1_00100
OG0000055	MT521409.1_00062	BD143114.1_00088
OG0000056	MT521409.1_00058	BD143114.1_00083
OG0000057	MT521409.1_00001	BD143114.1_00081
OG0000058	MT521409.1_00107	BD143114.1_00072
OG0000059	MT521409.1_00084	BD143114.1_00065
OG0000060	MT521409.1_00091	BD143114.1_00057
OG0000061	MT521409.1_00054	BD143114.1_00108
OG0000062	MT521409.1_00074	BD143114.1_00049
OG0000096	MT521409.1_00046	BD143114.1_00079
OG0000113	MT521409.1_00096	BD143114.1_00054
OG0000114	MT521409.1_00085	BD143114.1_00064
OG0000115	MT521409.1_00036	BD143114.1_00022
OG0000117	MT521409.1_00055	BD143114.1_00107
