Orthogroup	MN803438	KX643370
OG0000000	MN803438.1_00124 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	MN803438.1_00101 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	MN803438.1_00113 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	MN803438.1_00109 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	MN803438.1_00089 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000006	MN803438.1_00023 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000007	MN803438.1_00128 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000008	MN803438.1_00068 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000009	MN803438.1_00035 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000010	MN803438.1_00013 hypothetical protein	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000011	MN803438.1_00007 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000012	MN803438.1_00049 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000013	MN803438.1_00097 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	MN803438.1_00027 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	MN803438.1_00051 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000016	MN803438.1_00070 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000017	MN803438.1_00046 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000018	MN803438.1_00024 hypothetical protein	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000019	MN803438.1_00142 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000020	MN803438.1_00122 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000021	MN803438.1_00071 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000022	MN803438.1_00104 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000023	MN803438.1_00077 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000024	MN803438.1_00145 hypothetical protein	Lymph_LDV3_KX643370_00001 hypothetical protein
OG0000026	MN803438.1_00037 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000027	MN803438.1_00126 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000028	MN803438.1_00054 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000119	MN803438.1_00082 hypothetical protein	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein
OG0000126	MN803438.1_00125 hypothetical protein	Lymph_LDV3_KX643370_00132 hypothetical protein
OG0000126	MN803438.1_00094 hypothetical protein	Lymph_LDV3_KX643370_00076 hypothetical protein
OG0000126	MN803438.1_00107 hypothetical protein	Lymph_LDV3_KX643370_00108 hypothetical protein
OG0000126	MN803438.1_00112 hypothetical protein	Lymph_LDV3_KX643370_00133 hypothetical protein
OG0000126	MN803438.1_00120 hypothetical protein	Lymph_LDV3_KX643370_00125 hypothetical protein
OG0000126	MN803438.1_00012 hypothetical protein	Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000126	MN803438.1_00021 hypothetical protein	Lymph_LDV3_KX643370_00079 hypothetical protein
OG0000132	MN803438.1_00115 hypothetical protein	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000134	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000135	MN803438.1_00137 hypothetical protein	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000136	MN803438.1_00005 Thymidylate synthase	Lymph_LDV3_KX643370_00042 Thymidylate synthase
OG0000141	MN803438.1_00006 hypothetical protein	Lymph_LDV3_KX643370_00043 hypothetical protein
OG0000143	MN803438.1_00096 hypothetical protein	Lymph_LDV3_KX643370_00100 hypothetical protein
OG0000143	MN803438.1_00011 hypothetical protein	Lymph_LDV3_KX643370_00012 hypothetical protein
OG0000144	MN803438.1_00022 Serine proteinase inhibitor 2	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2
OG0000148	MN803438.1_00135 hypothetical protein	Lymph_LDV3_KX643370_00140 hypothetical protein
OG0000150	MN803438.1_00010 hypothetical protein	Lymph_LDV3_KX643370_00047 hypothetical protein
OG0000152	MN803438.1_00003 hypothetical protein	Lymph_LDV3_KX643370_00149 hypothetical protein
OG0000155	MN803438.1_00078 hypothetical protein	Lymph_LDV3_KX643370_00090 hypothetical protein
OG0000170	MN803438.1_00028 hypothetical protein	Lymph_LDV3_KX643370_00060 hypothetical protein
OG0000171	MN803438.1_00030 hypothetical protein	Lymph_LDV3_KX643370_00059 hypothetical protein
OG0000172	MN803438.1_00092 hypothetical protein	Lymph_LDV3_KX643370_00080 hypothetical protein
OG0000197	MN803438.1_00044 hypothetical protein	Lymph_LDV3_KX643370_00021 hypothetical protein
OG0000199	MN803438.1_00121 hypothetical protein	Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein
OG0000200	MN803438.1_00045 hypothetical protein	Lymph_LDV3_KX643370_00020 hypothetical protein
OG0000201	MN803438.1_00130 hypothetical protein	Lymph_LDV3_KX643370_00114 hypothetical protein
OG0000220	MN803438.1_00110 hypothetical protein	Lymph_LDV3_KX643370_00106 hypothetical protein
OG0000221	MN803438.1_00140 hypothetical protein	Lymph_LDV3_KX643370_00005 hypothetical protein
OG0000222	MN803438.1_00008 hypothetical protein	Lymph_LDV3_KX643370_00046 hypothetical protein
OG0000223	MN803438.1_00026 hypothetical protein	Lymph_LDV3_KX643370_00054 hypothetical protein
OG0000224	MN803438.1_00136 hypothetical protein	Lymph_LDV3_KX643370_00146 hypothetical protein
OG0000225	MN803438.1_00099 hypothetical protein	Lymph_LDV3_KX643370_00102 hypothetical protein
