Orthogroup	MN803438	HF920633
OG0000000	MN803438.1_00124 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	MN803438.1_00101 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	MN803438.1_00113 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	MN803438.1_00109 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	MN803438.1_00089 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	MN803438.1_00023 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	MN803438.1_00128 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	MN803438.1_00068 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	MN803438.1_00035 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000010	MN803438.1_00013 hypothetical protein	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000011	MN803438.1_00007 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000012	MN803438.1_00049 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000013	MN803438.1_00097 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	MN803438.1_00027 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	MN803438.1_00051 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000016	MN803438.1_00070 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000017	MN803438.1_00046 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000018	MN803438.1_00024 hypothetical protein	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000019	MN803438.1_00142 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	MN803438.1_00122 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	MN803438.1_00071 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	MN803438.1_00104 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000023	MN803438.1_00077 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000126	MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein, MN803438.1_00107 hypothetical protein, MN803438.1_00112 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein, MN803438.1_00021 hypothetical protein	HF920633.1_00086 hypothetical protein
OG0000132	MN803438.1_00115 hypothetical protein	HF920633.1_00135 hypothetical protein
OG0000134	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	HF920633.1_00132 hypothetical protein
OG0000135	MN803438.1_00137 hypothetical protein	HF920633.1_00053 hypothetical protein
OG0000136	MN803438.1_00005 Thymidylate synthase	HF920633.1_00156 Thymidylate synthase
OG0000141	MN803438.1_00006 hypothetical protein	HF920633.1_00064 hypothetical protein
OG0000148	MN803438.1_00135 hypothetical protein	HF920633.1_00036 hypothetical protein
OG0000152	MN803438.1_00003 hypothetical protein	HF920633.1_00024 hypothetical protein
OG0000170	MN803438.1_00028 hypothetical protein	HF920633.1_00171 hypothetical protein
OG0000172	MN803438.1_00092 hypothetical protein	HF920633.1_00034 hypothetical protein
OG0000200	MN803438.1_00045 hypothetical protein	HF920633.1_00139 hypothetical protein
