Orthogroup	MW139932.1	GQ273492.1
OG0000000	MW139932.1_00033	GQ273492.1_00030
OG0000001	MW139932.1_00008	GQ273492.1_00008
OG0000002	MW139932.1_00007	GQ273492.1_00007
OG0000003	MW139932.1_00015	GQ273492.1_00015
OG0000004	MW139932.1_00113	GQ273492.1_00108
OG0000005	MW139932.1_00096	GQ273492.1_00092
OG0000006	MW139932.1_00077	GQ273492.1_00073
OG0000007	MW139932.1_00091	GQ273492.1_00087
OG0000008	MW139932.1_00032	GQ273492.1_00029
OG0000009	MW139932.1_00115	GQ273492.1_00110
OG0000010	MW139932.1_00078	GQ273492.1_00074
OG0000011	MW139932.1_00065	GQ273492.1_00063
OG0000012	MW139932.1_00023	GQ273492.1_00022
OG0000013	MW139932.1_00059	GQ273492.1_00056
OG0000014	MW139932.1_00123	GQ273492.1_00118
OG0000015	MW139932.1_00124	GQ273492.1_00119
OG0000016	MW139932.1_00088	GQ273492.1_00084
OG0000017	MW139932.1_00036	GQ273492.1_00033
OG0000018	MW139932.1_00108	GQ273492.1_00103
OG0000019	MW139932.1_00087	GQ273492.1_00083
OG0000020	MW139932.1_00034	GQ273492.1_00031
OG0000021	MW139932.1_00005	GQ273492.1_00005
OG0000022	MW139932.1_00038	GQ273492.1_00035
OG0000023	MW139932.1_00047	GQ273492.1_00044
OG0000024	MW139932.1_00029	GQ273492.1_00027
OG0000025	MW139932.1_00066	GQ273492.1_00064
OG0000026	MW139932.1_00111	GQ273492.1_00106
OG0000027	MW139932.1_00089	GQ273492.1_00085
OG0000028	MW139932.1_00050	GQ273492.1_00047
OG0000029	MW139932.1_00063	GQ273492.1_00061
OG0000030	MW139932.1_00001	GQ273492.1_00001
OG0000031	MW139932.1_00006	GQ273492.1_00006
OG0000032	MW139932.1_00082	GQ273492.1_00078
OG0000033	MW139932.1_00090	GQ273492.1_00086
OG0000034	MW139932.1_00125	GQ273492.1_00120
OG0000035	MW139932.1_00013	GQ273492.1_00013
OG0000036	MW139932.1_00014	GQ273492.1_00014
OG0000037	MW139932.1_00019	GQ273492.1_00019
OG0000038	MW139932.1_00020	GQ273492.1_00020
OG0000039	MW139932.1_00024	GQ273492.1_00023
OG0000040	MW139932.1_00025	GQ273492.1_00024
OG0000041	MW139932.1_00035	GQ273492.1_00032
OG0000042	MW139932.1_00039	GQ273492.1_00036
OG0000043	MW139932.1_00051	GQ273492.1_00048
OG0000044	MW139932.1_00052	GQ273492.1_00049
OG0000045	MW139932.1_00057	GQ273492.1_00054
OG0000046	MW139932.1_00058	GQ273492.1_00055
OG0000047	MW139932.1_00060	GQ273492.1_00057
OG0000048	MW139932.1_00061	GQ273492.1_00059
OG0000049	MW139932.1_00062	GQ273492.1_00060
OG0000050	MW139932.1_00079	GQ273492.1_00075
OG0000051	MW139932.1_00083	GQ273492.1_00079
OG0000052	MW139932.1_00084	GQ273492.1_00080
OG0000053	MW139932.1_00095	GQ273492.1_00091
OG0000054	MW139932.1_00097	GQ273492.1_00093
OG0000055	MW139932.1_00100	GQ273492.1_00096
OG0000056	MW139932.1_00112	GQ273492.1_00107
OG0000057	MW139932.1_00117	GQ273492.1_00112
OG0000058	MW139932.1_00119	GQ273492.1_00114
OG0000059	MW139932.1_00002	GQ273492.1_00002
OG0000061	MW139932.1_00018	GQ273492.1_00018
OG0000062	MW139932.1_00092	GQ273492.1_00088
OG0000063	MW139932.1_00074	GQ273492.1_00070
OG0000064	MW139932.1_00017	GQ273492.1_00017
OG0000065	MW139932.1_00041	GQ273492.1_00038
OG0000066	MW139932.1_00045	GQ273492.1_00042
OG0000067	MW139932.1_00049	GQ273492.1_00046
OG0000068	MW139932.1_00069	GQ273492.1_00066
OG0000069	MW139932.1_00099	GQ273492.1_00095
OG0000070	MW139932.1_00101	GQ273492.1_00097
OG0000071	MW139932.1_00116	GQ273492.1_00111
OG0000072	MW139932.1_00009	GQ273492.1_00009
OG0000073	MW139932.1_00012	GQ273492.1_00012
OG0000074	MW139932.1_00016	GQ273492.1_00016
OG0000075	MW139932.1_00037	GQ273492.1_00034
OG0000076	MW139932.1_00040	GQ273492.1_00037
OG0000077	MW139932.1_00043	GQ273492.1_00040
OG0000078	MW139932.1_00044	GQ273492.1_00041
OG0000079	MW139932.1_00048	GQ273492.1_00045
OG0000080	MW139932.1_00053	GQ273492.1_00050
OG0000081	MW139932.1_00054	GQ273492.1_00051
OG0000082	MW139932.1_00055	GQ273492.1_00052
OG0000083	MW139932.1_00064	GQ273492.1_00062
OG0000084	MW139932.1_00067	GQ273492.1_00065
OG0000085	MW139932.1_00070	GQ273492.1_00067
OG0000086	MW139932.1_00071	GQ273492.1_00068
OG0000087	MW139932.1_00075	GQ273492.1_00071
OG0000088	MW139932.1_00076	GQ273492.1_00072
OG0000089	MW139932.1_00085	GQ273492.1_00081
OG0000090	MW139932.1_00086	GQ273492.1_00082
OG0000091	MW139932.1_00098	GQ273492.1_00094
OG0000092	MW139932.1_00102	GQ273492.1_00098
OG0000093	MW139932.1_00106	GQ273492.1_00101
OG0000094	MW139932.1_00109	GQ273492.1_00104
OG0000095	MW139932.1_00110	GQ273492.1_00105
OG0000096	MW139932.1_00121	GQ273492.1_00116
OG0000097	MW139932.1_00003	GQ273492.1_00003
OG0000098	MW139932.1_00004	GQ273492.1_00004
OG0000099	MW139932.1_00042	GQ273492.1_00039
OG0000100	MW139932.1_00046	GQ273492.1_00043
OG0000102	MW139932.1_00080	GQ273492.1_00076
OG0000103	MW139932.1_00103	GQ273492.1_00099
OG0000104	MW139932.1_00107	GQ273492.1_00102
OG0000105	MW139932.1_00118	GQ273492.1_00113
OG0000106	MW139932.1_00031	GQ273492.1_00028
OG0000107	MW139932.1_00104	GQ273492.1_00100
OG0000108	MW139932.1_00122	GQ273492.1_00117
OG0000110	MW139932.1_00120	GQ273492.1_00115
OG0000111	MW139932.1_00094	GQ273492.1_00090
OG0000112	MW139932.1_00081	GQ273492.1_00077
OG0000114	MW139932.1_00022	GQ273492.1_00021
