Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Onychodactylus koreanus ranavirus isolate OKRV1, complete genome",Onychodactylus koreanus ranavirus,717,717,100%,0.0,95.96,104734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP518040.1?report=genbank&log$=nucltop&blast_rank=1&RID=6EEGSD2Z016"",""PP518040.1"")"
"Frog virus 3 isolate Hunan/CHN/2022, partial genome",Frog virus 3,717,717,100%,0.0,95.96,104462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP357265.1?report=genbank&log$=nucltop&blast_rank=2&RID=6EEGSD2Z016"",""PP357265.1"")"
"Frog virus 3 strain Z936, complete genome",Frog virus 3,717,717,100%,0.0,95.96,97848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959617.1?report=genbank&log$=nucltop&blast_rank=3&RID=6EEGSD2Z016"",""MK959617.1"")"
"Frog virus 3 strain Z920, complete genome",Frog virus 3,717,717,100%,0.0,95.96,104603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959613.1?report=genbank&log$=nucltop&blast_rank=4&RID=6EEGSD2Z016"",""MK959613.1"")"
"Frog virus 3 strain Z930, complete genome",Frog virus 3,717,717,100%,0.0,95.96,104245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959615.1?report=genbank&log$=nucltop&blast_rank=5&RID=6EEGSD2Z016"",""MK959615.1"")"
"Rana grylio iridovirus, complete genome",Rana grylio virus,717,717,100%,0.0,95.96,105791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ654586.1?report=genbank&log$=nucltop&blast_rank=6&RID=6EEGSD2Z016"",""JQ654586.1"")"
"Soft-shelled turtle iridovirus, complete genome",Soft-shelled turtle iridovirus,717,717,100%,0.0,95.96,105890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU627010.1?report=genbank&log$=nucltop&blast_rank=7&RID=6EEGSD2Z016"",""EU627010.1"")"
"Frog virus 3 isolate Op/2015/Netherlands/UU3150324001, complete genome",Frog virus 3,717,717,100%,0.0,95.96,107035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF360246.1?report=genbank&log$=nucltop&blast_rank=8&RID=6EEGSD2Z016"",""MF360246.1"")"
"Frog virus 3, complete genome",Frog virus 3,717,717,100%,0.0,95.96,105903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_005946.1?report=genbank&log$=nucltop&blast_rank=9&RID=6EEGSD2Z016"",""NC_005946.1"")"
"Frog virus 3 strain Z933, complete genome",Frog virus 3,717,717,100%,0.0,95.96,105037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959616.1?report=genbank&log$=nucltop&blast_rank=10&RID=6EEGSD2Z016"",""MK959616.1"")"
"Frog virus 3 strain Z916, complete genome",Frog virus 3,717,717,100%,0.0,95.96,99213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959612.1?report=genbank&log$=nucltop&blast_rank=11&RID=6EEGSD2Z016"",""MK959612.1"")"
"Frog virus 3 strain Z994, complete genome",Frog virus 3,717,717,100%,0.0,95.96,104788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959621.1?report=genbank&log$=nucltop&blast_rank=12&RID=6EEGSD2Z016"",""MK959621.1"")"
"Trioceros melleri ranavirus isolate C16002, complete genome",Trioceros melleri ranavirus,717,717,100%,0.0,95.96,105030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953520.1?report=genbank&log$=nucltop&blast_rank=13&RID=6EEGSD2Z016"",""MG953520.1"")"
"Terrapene mexicana triunguis ranavirus 1 isolate TMTRV1, complete genome",Terrapene mexicana triunguis ranavirus 1,717,717,100%,0.0,95.96,105670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM963013.1?report=genbank&log$=nucltop&blast_rank=14&RID=6EEGSD2Z016"",""OM963013.1"")"
"Terrapene mexicana triunguis ranavirus 2 isolate 21126-3, complete genome",Terrapene mexicana triunguis ranavirus 2,717,717,100%,0.0,95.96,105297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP852645.1?report=genbank&log$=nucltop&blast_rank=15&RID=6EEGSD2Z016"",""OP852645.1"")"
"Frog virus 3 isolate LC3C, complete genome",Frog virus 3,717,717,100%,0.0,95.96,106988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP179901.1?report=genbank&log$=nucltop&blast_rank=16&RID=6EEGSD2Z016"",""PP179901.1"")"
"Yeast/bacterial shuttle vector pBAC-FrogVirus3 DNA, complete sequence",Yeast/bacterial shuttle vector pBAC-FrogVirus3,717,717,100%,0.0,95.96,113893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830690.1?report=genbank&log$=nucltop&blast_rank=17&RID=6EEGSD2Z016"",""LC830690.1"")"
"Onychodactylus koreanus ranavirus isolate OKRV2, complete genome",Onychodactylus koreanus ranavirus,717,717,100%,0.0,95.96,104626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP518041.1?report=genbank&log$=nucltop&blast_rank=18&RID=6EEGSD2Z016"",""PP518041.1"")"
"Stickleback virus isolate WVL21035, complete genome",Stickleback virus,717,717,100%,0.0,95.96,105673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ514903.1?report=genbank&log$=nucltop&blast_rank=19&RID=6EEGSD2Z016"",""MZ514903.1"")"
"Frog virus 3 isolate WVL20057-5, complete genome",Frog virus 3,717,717,100%,0.0,95.96,105988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM927979.1?report=genbank&log$=nucltop&blast_rank=20&RID=6EEGSD2Z016"",""OM927979.1"")"
"Frog virus 3 isolate Rana, complete genome",Frog virus 3,717,717,100%,0.0,95.96,105895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ109930.1?report=genbank&log$=nucltop&blast_rank=21&RID=6EEGSD2Z016"",""PQ109930.1"")"
"Frog virus 3 FV3-FUB DNA, complete genome",Frog virus 3,717,717,100%,0.0,95.96,106146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830689.1?report=genbank&log$=nucltop&blast_rank=22&RID=6EEGSD2Z016"",""LC830689.1"")"
"Frog virus 3 strain Z942, complete genome",Frog virus 3,717,717,100%,0.0,95.96,103673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959620.1?report=genbank&log$=nucltop&blast_rank=23&RID=6EEGSD2Z016"",""MK959620.1"")"
"Terrapene carolina carolina ranavirus isolate TCA16001, complete genome",Terrapene carolina carolina ranavirus,717,717,100%,0.0,95.96,104894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953518.1?report=genbank&log$=nucltop&blast_rank=24&RID=6EEGSD2Z016"",""MG953518.1"")"
"Frog virus 3 isolate SSME, complete genome",Frog virus 3,717,717,100%,0.0,95.96,105070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ175144.1?report=genbank&log$=nucltop&blast_rank=25&RID=6EEGSD2Z016"",""KJ175144.1"")"
"Frog virus 3 isolate WVL20057-3, complete genome",Frog virus 3,717,717,100%,0.0,95.96,106024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM927978.1?report=genbank&log$=nucltop&blast_rank=26&RID=6EEGSD2Z016"",""OM927978.1"")"
"Trioceros melleri ranavirus isolate C16001, complete genome",Trioceros melleri ranavirus,717,717,100%,0.0,95.96,104803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953519.1?report=genbank&log$=nucltop&blast_rank=27&RID=6EEGSD2Z016"",""MG953519.1"")"
"Frog virus 3 isolate NP2C, complete genome",Frog virus 3,717,717,100%,0.0,95.96,106988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP179900.1?report=genbank&log$=nucltop&blast_rank=28&RID=6EEGSD2Z016"",""PP179900.1"")"
"Frog virus 3 strain Z938, complete genome",Frog virus 3,717,717,100%,0.0,95.96,104549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959618.1?report=genbank&log$=nucltop&blast_rank=29&RID=6EEGSD2Z016"",""MK959618.1"")"
"Tadpole virus 2 isolate WVL21036, complete genome",Tadpole virus 2,717,717,100%,0.0,95.96,105671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ514904.1?report=genbank&log$=nucltop&blast_rank=30&RID=6EEGSD2Z016"",""MZ514904.1"")"
"Frog virus 3 strain Z897, complete genome",Frog virus 3,717,717,100%,0.0,95.96,104643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959611.1?report=genbank&log$=nucltop&blast_rank=31&RID=6EEGSD2Z016"",""MK959611.1"")"
"Frog virus 3 strain Z929, complete genome",Frog virus 3,717,717,100%,0.0,95.96,104566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959614.1?report=genbank&log$=nucltop&blast_rank=32&RID=6EEGSD2Z016"",""MK959614.1"")"
