Orthogroup	Rana_FV3_NC_005946.1	Lymph_LCD4_MN803438.1
OG0000000	Rana_FV3_NC_005946.1_00010	Lymph_LCD4_MN803438.1_00124
OG0000001	Rana_FV3_NC_005946.1_00091	Lymph_LCD4_MN803438.1_00023
OG0000002	Rana_FV3_NC_005946.1_00053	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	Rana_FV3_NC_005946.1_00057	Lymph_LCD4_MN803438.1_00113
OG0000004	Rana_FV3_NC_005946.1_00028	Lymph_LCD4_MN803438.1_00104
OG0000005	Rana_FV3_NC_005946.1_00002	Lymph_LCD4_MN803438.1_00027
OG0000006	Rana_FV3_NC_005946.1_00095	Lymph_LCD4_MN803438.1_00106
OG0000007	Rana_FV3_NC_005946.1_00042	Lymph_LCD4_MN803438.1_00142
OG0000008	Rana_FV3_NC_005946.1_00092	Lymph_LCD4_MN803438.1_00109
OG0000009	Rana_FV3_NC_005946.1_00014	Lymph_LCD4_MN803438.1_00071
OG0000011	Rana_FV3_NC_005946.1_00094	Lymph_LCD4_MN803438.1_00097
OG0000012	Rana_FV3_NC_005946.1_00061	Lymph_LCD4_MN803438.1_00013
OG0000013	Rana_FV3_NC_005946.1_00023	Lymph_LCD4_MN803438.1_00051
OG0000014	Rana_FV3_NC_005946.1_00082	Lymph_LCD4_MN803438.1_00122
OG0000015	Rana_FV3_NC_005946.1_00083	Lymph_LCD4_MN803438.1_00068
OG0000016	Rana_FV3_NC_005946.1_00060	Lymph_LCD4_MN803438.1_00128
OG0000017	Rana_FV3_NC_005946.1_00022	Lymph_LCD4_MN803438.1_00007
OG0000018	Rana_FV3_NC_005946.1_00016	Lymph_LCD4_MN803438.1_00070
OG0000019	Rana_FV3_NC_005946.1_00011	Lymph_LCD4_MN803438.1_00049
OG0000020	Rana_FV3_NC_005946.1_00021	Lymph_LCD4_MN803438.1_00046
OG0000021	Rana_FV3_NC_005946.1_00087	Lymph_LCD4_MN803438.1_00035
OG0000022	Rana_FV3_NC_005946.1_00038	Lymph_LCD4_MN803438.1_00089
OG0000023	Rana_FV3_NC_005946.1_00089	Lymph_LCD4_MN803438.1_00077
OG0000024	Rana_FV3_NC_005946.1_00067	Lymph_LCD4_MN803438.1_00024
OG0000026	Rana_FV3_NC_005946.1_00086	Lymph_LCD4_MN803438.1_00126
OG0000027	Rana_FV3_NC_005946.1_00049	Lymph_LCD4_MN803438.1_00037
OG0000028	Rana_FV3_NC_005946.1_00085	Lymph_LCD4_MN803438.1_00054
OG0000113	Rana_FV3_NC_005946.1_00020	Lymph_LCD4_MN803438.1_00112
OG0000133	Rana_FV3_NC_005946.1_00079	Lymph_LCD4_MN803438.1_00006
OG0000134	Rana_FV3_NC_005946.1_00001	Lymph_LCD4_MN803438.1_00115
OG0000137	Rana_FV3_NC_005946.1_00039	Lymph_LCD4_MN803438.1_00105
OG0000150	Rana_FV3_NC_005946.1_00052	Lymph_LCD4_MN803438.1_00010
OG0000152	Rana_FV3_NC_005946.1_00044	Lymph_LCD4_MN803438.1_00003
OG0000160	Rana_FV3_NC_005946.1_00075	Lymph_LCD4_MN803438.1_00078
OG0000165	Rana_FV3_NC_005946.1_00029	Lymph_LCD4_MN803438.1_00092
OG0000166	Rana_FV3_NC_005946.1_00026	Lymph_LCD4_MN803438.1_00028
OG0000177	Rana_FV3_NC_005946.1_00033	Lymph_LCD4_MN803438.1_00030
OG0000205	Rana_FV3_NC_005946.1_00062	Lymph_LCD4_MN803438.1_00044
OG0000234	Rana_FV3_NC_005946.1_00088	Lymph_LCD4_MN803438.1_00008
OG0000235	Rana_FV3_NC_005946.1_00096	Lymph_LCD4_MN803438.1_00026
OG0000237	Rana_FV3_NC_005946.1_00073	Lymph_LCD4_MN803438.1_00099
OG0000238	Rana_FV3_NC_005946.1_00051	Lymph_LCD4_MN803438.1_00110
OG0000239	Rana_FV3_NC_005946.1_00015	Lymph_LCD4_MN803438.1_00136
