Orthogroup	Rana_FV3_NC_005946.1	MCV_Unlassified_OL310752.1
OG0000000	Rana_FV3_NC_005946.1_00010	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	Rana_FV3_NC_005946.1_00091	MCV_Unlassified_OL310752.1_00019
OG0000002	Rana_FV3_NC_005946.1_00053	MCV_Unlassified_OL310752.1_00018
OG0000003	Rana_FV3_NC_005946.1_00057	MCV_Unlassified_OL310752.1_00012
OG0000004	Rana_FV3_NC_005946.1_00028	MCV_Unlassified_OL310752.1_00060
OG0000005	Rana_FV3_NC_005946.1_00002	MCV_Unlassified_OL310752.1_00042
OG0000006	Rana_FV3_NC_005946.1_00095	MCV_Unlassified_OL310752.1_00107
OG0000007	Rana_FV3_NC_005946.1_00042	MCV_Unlassified_OL310752.1_00078
OG0000008	Rana_FV3_NC_005946.1_00092	MCV_Unlassified_OL310752.1_00116
OG0000009	Rana_FV3_NC_005946.1_00014	MCV_Unlassified_OL310752.1_00036
OG0000011	Rana_FV3_NC_005946.1_00094	MCV_Unlassified_OL310752.1_00046
OG0000012	Rana_FV3_NC_005946.1_00061	MCV_Unlassified_OL310752.1_00083
OG0000013	Rana_FV3_NC_005946.1_00023	MCV_Unlassified_OL310752.1_00065
OG0000014	Rana_FV3_NC_005946.1_00082	MCV_Unlassified_OL310752.1_00045
OG0000015	Rana_FV3_NC_005946.1_00083	MCV_Unlassified_OL310752.1_00114
OG0000016	Rana_FV3_NC_005946.1_00060	MCV_Unlassified_OL310752.1_00004
OG0000017	Rana_FV3_NC_005946.1_00022	MCV_Unlassified_OL310752.1_00096
OG0000018	Rana_FV3_NC_005946.1_00016	MCV_Unlassified_OL310752.1_00071
OG0000019	Rana_FV3_NC_005946.1_00011	MCV_Unlassified_OL310752.1_00027
OG0000020	Rana_FV3_NC_005946.1_00021	MCV_Unlassified_OL310752.1_00072
OG0000021	Rana_FV3_NC_005946.1_00087	MCV_Unlassified_OL310752.1_00085
OG0000022	Rana_FV3_NC_005946.1_00038	MCV_Unlassified_OL310752.1_00021
OG0000023	Rana_FV3_NC_005946.1_00089	MCV_Unlassified_OL310752.1_00052
OG0000024	Rana_FV3_NC_005946.1_00067	MCV_Unlassified_OL310752.1_00104
OG0000026	Rana_FV3_NC_005946.1_00086	MCV_Unlassified_OL310752.1_00062
OG0000027	Rana_FV3_NC_005946.1_00049	MCV_Unlassified_OL310752.1_00044
OG0000028	Rana_FV3_NC_005946.1_00085	MCV_Unlassified_OL310752.1_00087
