Orthogroup	MG570131	NC_005946
OG0000000	MG570131.1_00031 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	MG570131.1_00009 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	MG570131.1_00016 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	MG570131.1_00030 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	MG570131.1_00110 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	NC_005946.1_00038 hypothetical protein
OG0000006	MG570131.1_00008 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	MG570131.1_00023 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	MG570131.1_00032 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	MG570131.1_00036 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	MG570131.1_00057 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	MG570131.1_00063 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	MG570131.1_00083 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	MG570131.1_00087 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	MG570131.1_00103 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	MG570131.1_00118 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	MG570131.1_00119 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000018	MG570131.1_00034 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000019	MG570131.1_00073 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000020	MG570131.1_00084 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000021	MG570131.1_00092 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000022	MG570131.1_00108 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000024	MG570131.1_00045 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000026	MG570131.1_00085 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000027	MG570131.1_00106 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000028	MG570131.1_00048 hypothetical protein	NC_005946.1_00085 hypothetical protein
OG0000120	MG570131.1_00077 hypothetical protein	NC_005946.1_00006 hypothetical protein
