Orthogroup	MG570131	OM037668
OG0000000	MG570131.1_00031 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	MG570131.1_00009 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	MG570131.1_00016 hypothetical protein	OM037668.1_00050 hypothetical protein
OG0000003	MG570131.1_00030 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	MG570131.1_00110 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	OM037668.1_00013 hypothetical protein
OG0000006	MG570131.1_00008 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000007	MG570131.1_00023 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000008	MG570131.1_00032 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000009	MG570131.1_00036 DNA-directed RNA polymerase subunit 2	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	MG570131.1_00057 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000011	MG570131.1_00063 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000012	MG570131.1_00083 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000013	MG570131.1_00087 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000014	MG570131.1_00103 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000015	MG570131.1_00118 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000016	MG570131.1_00119 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000017	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	MG570131.1_00034 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000019	MG570131.1_00073 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000020	MG570131.1_00084 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000021	MG570131.1_00092 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000022	MG570131.1_00108 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000023	MG570131.1_00006 hypothetical protein	SDDV_ORF011 Tripartite motif-containing protein, OM037668.1_00129 hypothetical protein, OM037668.1_00010 hypothetical protein
OG0000024	MG570131.1_00045 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000025	MG570131.1_00064 hypothetical protein	OM037668.1_00024 hypothetical protein
OG0000026	MG570131.1_00085 hypothetical protein	OM037668.1_00087 hypothetical protein
OG0000027	MG570131.1_00106 hypothetical protein	OM037668.1_00074 hypothetical protein
OG0000028	MG570131.1_00048 hypothetical protein	OM037668.1_00110 hypothetical protein
OG0000029	MG570131.1_00056 hypothetical protein	OM037668.1_00099 hypothetical protein
OG0000030	MG570131.1_00058 hypothetical protein	OM037668.1_00097 hypothetical protein
OG0000031	MG570131.1_00001 hypothetical protein	OM037668.1_00030 hypothetical protein
OG0000032	MG570131.1_00002 hypothetical protein	OM037668.1_00031 hypothetical protein
OG0000033	MG570131.1_00015 hypothetical protein	OM037668.1_00005 hypothetical protein
OG0000034	MG570131.1_00019 hypothetical protein	OM037668.1_00047 hypothetical protein
OG0000035	MG570131.1_00020 hypothetical protein	OM037668.1_00046 hypothetical protein
OG0000036	MG570131.1_00021 hypothetical protein	OM037668.1_00045 hypothetical protein
OG0000037	MG570131.1_00024 hypothetical protein	OM037668.1_00040 hypothetical protein
OG0000038	MG570131.1_00037 hypothetical protein	OM037668.1_00122 hypothetical protein
OG0000039	MG570131.1_00049 hypothetical protein	OM037668.1_00106 hypothetical protein
OG0000040	MG570131.1_00050 hypothetical protein	OM037668.1_00105 hypothetical protein
OG0000041	MG570131.1_00060 hypothetical protein	OM037668.1_00096 hypothetical protein
