Orthogroup	MG570131	PQ335173_PQ335174
OG0000000	MG570131.1_00031 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	MG570131.1_00009 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	MG570131.1_00016 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	MG570131.1_00030 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	MG570131.1_00110 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	MG570131.1_00008 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	MG570131.1_00023 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	MG570131.1_00032 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	MG570131.1_00036 DNA-directed RNA polymerase subunit 2	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MG570131.1_00057 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	MG570131.1_00063 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	MG570131.1_00083 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	MG570131.1_00087 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	MG570131.1_00103 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	MG570131.1_00118 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	MG570131.1_00119 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	MG570131.1_00034 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	MG570131.1_00073 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	MG570131.1_00084 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	MG570131.1_00092 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	MG570131.1_00108 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000023	MG570131.1_00006 hypothetical protein	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	MG570131.1_00045 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	MG570131.1_00064 hypothetical protein	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	MG570131.1_00085 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	MG570131.1_00106 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	MG570131.1_00048 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
OG0000029	MG570131.1_00056 hypothetical protein	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
OG0000030	MG570131.1_00058 hypothetical protein	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	MG570131.1_00001 hypothetical protein	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
OG0000032	MG570131.1_00002 hypothetical protein	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation
OG0000033	MG570131.1_00015 hypothetical protein	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation
OG0000034	MG570131.1_00019 hypothetical protein	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation
OG0000035	MG570131.1_00020 hypothetical protein	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation
OG0000036	MG570131.1_00021 hypothetical protein	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation
OG0000037	MG570131.1_00024 hypothetical protein	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation
OG0000038	MG570131.1_00037 hypothetical protein	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation
OG0000039	MG570131.1_00049 hypothetical protein	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation
OG0000040	MG570131.1_00050 hypothetical protein	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
OG0000041	MG570131.1_00060 hypothetical protein	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation
OG0000042	MG570131.1_00075 hypothetical protein	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation
OG0000043	MG570131.1_00078 hypothetical protein	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation
OG0000044	MG570131.1_00079 hypothetical protein	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation
OG0000045	MG570131.1_00080 hypothetical protein	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
OG0000046	MG570131.1_00086 hypothetical protein	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
OG0000047	MG570131.1_00091 hypothetical protein	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
OG0000048	MG570131.1_00093 hypothetical protein	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
OG0000049	MG570131.1_00096 hypothetical protein	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
OG0000050	MG570131.1_00107 hypothetical protein	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation
OG0000051	MG570131.1_00112 hypothetical protein	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation
OG0000052	MG570131.1_00116 hypothetical protein	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation
OG0000054	MG570131.1_00025 hypothetical protein	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation
OG0000055	MG570131.1_00055 hypothetical protein	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation
OG0000056	MG570131.1_00089 hypothetical protein	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation
OG0000058	MG570131.1_00120 hypothetical protein	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation
OG0000060	MG570131.1_00088 hypothetical protein	PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation
OG0000062	MG570131.1_00011 hypothetical protein	PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation
OG0000063	MG570131.1_00074 hypothetical protein	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation
OG0000064	MG570131.1_00095 hypothetical protein	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation
OG0000065	MG570131.1_00066 hypothetical protein	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation
OG0000067	MG570131.1_00010 hypothetical protein	PQ335173_PQ335174_00016 PQ335173_PQ335174 - hypothetical protein translation
OG0000068	MG570131.1_00013 hypothetical protein	PQ335173_PQ335174_00013 PQ335173_PQ335174 - hypothetical protein translation
OG0000069	MG570131.1_00018 hypothetical protein	PQ335173_PQ335174_00008 PQ335173_PQ335174 - hypothetical protein translation
OG0000070	MG570131.1_00041 hypothetical protein	PQ335173_PQ335174_00099 PQ335173_PQ335174 - hypothetical protein translation
OG0000071	MG570131.1_00042 hypothetical protein	PQ335173_PQ335174_00098 PQ335173_PQ335174 - hypothetical protein translation
OG0000072	MG570131.1_00044 hypothetical protein	PQ335173_PQ335174_00096 PQ335173_PQ335174 - hypothetical protein translation
OG0000073	MG570131.1_00046 hypothetical protein	PQ335173_PQ335174_00094 PQ335173_PQ335174 - hypothetical protein translation
OG0000074	MG570131.1_00047 hypothetical protein	PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation
OG0000075	MG570131.1_00051 hypothetical protein	PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation
OG0000076	MG570131.1_00052 hypothetical protein	PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation
OG0000077	MG570131.1_00062 hypothetical protein	PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation
OG0000078	MG570131.1_00067 hypothetical protein	PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation
OG0000079	MG570131.1_00081 hypothetical protein	PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation
OG0000080	MG570131.1_00082 hypothetical protein	TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation
OG0000081	MG570131.1_00097 hypothetical protein	PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation
OG0000082	MG570131.1_00099 hypothetical protein	PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation
OG0000083	MG570131.1_00115 hypothetical protein	PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation
OG0000087	MG570131.1_00038 hypothetical protein	PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation
OG0000088	MG570131.1_00043 hypothetical protein	PQ335173_PQ335174_00097 PQ335173_PQ335174 - hypothetical protein translation
OG0000090	MG570131.1_00068 hypothetical protein	PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation
OG0000091	MG570131.1_00070 hypothetical protein	PQ335173_PQ335174_00070 PQ335173_PQ335174 - hypothetical protein translation
OG0000098	MG570131.1_00105 hypothetical protein	PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation
OG0000106	MG570131.1_00039 hypothetical protein	PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation
OG0000107	MG570131.1_00061 hypothetical protein	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
OG0000109	MG570131.1_00117 hypothetical protein	PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation
