HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N31.HOG0000000	OG0000000	n0			AY521625.1_00091											L63545.1_00007												MN803438.1_00124						NC_005946.1_00010													
N31.HOG0000001	OG0000001	n0			AY521625.1_00077											L63545.1_00035												MN803438.1_00101, MN803438.1_00056						NC_005946.1_00053													
N31.HOG0000002	OG0000002	n0			AY521625.1_00064											L63545.1_00079												MN803438.1_00023						NC_005946.1_00091													
N31.HOG0000003	OG0000003	n0			AY521625.1_00130											L63545.1_00076												MN803438.1_00113						NC_005946.1_00057													
N31.HOG0000004	OG0000004	n0			AY521625.1_00069, AY521625.1_00070											L63545.1_00001												MN803438.1_00104						NC_005946.1_00028													
N31.HOG0000005	OG0000005	n0			AY521625.1_00100											L63545.1_00056												MN803438.1_00071						NC_005946.1_00014													
N31.HOG0000006	OG0000006	n0			AY521625.1_00051											L63545.1_00093												MN803438.1_00142						NC_005946.1_00042													
N31.HOG0000007	OG0000007	n0			AY521625.1_00016											L63545.1_00090												MN803438.1_00027						NC_005946.1_00002													
N31.HOG0000008	OG0000008	n0			AY521625.1_00085											L63545.1_00108												MN803438.1_00106						NC_005946.1_00095													
N31.HOG0000009	OG0000009	n0			AY521625.1_00142											L63545.1_00024												MN803438.1_00109						NC_005946.1_00092													
N31.HOG0000010	OG0000011	n0			AY521625.1_00053											L63545.1_00069												MN803438.1_00049						NC_005946.1_00011													
N31.HOG0000011	OG0000012	n0			AY521625.1_00110											L63545.1_00071												MN803438.1_00128						NC_005946.1_00060													
N31.HOG0000012	OG0000013	n0			AY521625.1_00048											L63545.1_00004												MN803438.1_00007						NC_005946.1_00022													
N31.HOG0000013	OG0000014	n0			AY521625.1_00115											L63545.1_00030												MN803438.1_00070						NC_005946.1_00016													
N31.HOG0000014	OG0000015	n0			AY521625.1_00035											L63545.1_00110												MN803438.1_00046						NC_005946.1_00021													
N31.HOG0000015	OG0000016	n0			AY521625.1_00073											L63545.1_00073												MN803438.1_00122						NC_005946.1_00082													
N31.HOG0000016	OG0000017	n0			AY521625.1_00059											L63545.1_00072												MN803438.1_00035						NC_005946.1_00087													
N31.HOG0000017	OG0000018	n0			AY521625.1_00047											L63545.1_00068												MN803438.1_00051						NC_005946.1_00023													
N31.HOG0000018	OG0000019	n0			AY521625.1_00086											L63545.1_00009												MN803438.1_00097						NC_005946.1_00094													
N31.HOG0000019	OG0000020	n0			AY521625.1_00074											L63545.1_00098												MN803438.1_00068						NC_005946.1_00083													
N31.HOG0000020	OG0000021	n0			AY521625.1_00054											L63545.1_00043												MN803438.1_00089						NC_005946.1_00038													
N31.HOG0000021	OG0000022	n0			AY521625.1_00065											L63545.1_00013												MN803438.1_00013						NC_005946.1_00061													
N31.HOG0000022	OG0000023	n0			AY521625.1_00062											L63545.1_00054												MN803438.1_00077						NC_005946.1_00089													
N31.HOG0000023	OG0000024	n0			AY521625.1_00042											L63545.1_00015												MN803438.1_00024						NC_005946.1_00067													
N31.HOG0000024	OG0000026	n0			AY521625.1_00060											L63545.1_00002												MN803438.1_00126						NC_005946.1_00086													
N31.HOG0000025	OG0000027	n0			AY521625.1_00022											L63545.1_00058												MN803438.1_00037						NC_005946.1_00049													
N31.HOG0000026	OG0000028	n0														L63545.1_00003												MN803438.1_00054						NC_005946.1_00085													
N31.HOG0000027	OG0000030	n0			AY521625.1_00004																																										
N31.HOG0000028	OG0000031	n0																										MN803438.1_00145																			
N31.HOG0000029	OG0000112	n0																																NC_005946.1_00006													
N31.HOG0000030	OG0000113	n1			AY521625.1_00036											L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050												MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125						NC_005946.1_00020													
N31.HOG0000031	OG0000113	n17														L63545.1_00042, L63545.1_00005												MN803438.1_00021, MN803438.1_00112, MN803438.1_00012																			
N31.HOG0000032	OG0000129	n0																										MN803438.1_00082																			
N31.HOG0000033	OG0000134	n0			AY521625.1_00098											L63545.1_00092												MN803438.1_00115						NC_005946.1_00001													
N31.HOG0000034	OG0000135	n0			AY521625.1_00102											L63545.1_00016												MN803438.1_00006						NC_005946.1_00079													
N31.HOG0000035	OG0000137	n0			AY521625.1_00056											L63545.1_00100												MN803438.1_00105						NC_005946.1_00039													
N31.HOG0000036	OG0000138	n0														L63545.1_00023												MN803438.1_00137																			
N31.HOG0000037	OG0000139	n0																										MN803438.1_00005																			
N31.HOG0000038	OG0000141	n0			AY521625.1_00046																																										
N31.HOG0000039	OG0000147	n0																										MN803438.1_00022																			
N31.HOG0000040	OG0000148	n0			AY521625.1_00133																													NC_005946.1_00054													
N31.HOG0000041	OG0000151	n0			AY521625.1_00002											L63545.1_00085												MN803438.1_00010						NC_005946.1_00052													
N31.HOG0000042	OG0000155	n0														L63545.1_00012												MN803438.1_00135																			
N31.HOG0000043	OG0000156	n0			AY521625.1_00044																													NC_005946.1_00063													
N31.HOG0000044	OG0000157	n0			AY521625.1_00003, AY521625.1_00078, AY521625.1_00079, AY521625.1_00127, AY521625.1_00080, AY521625.1_00081, AY521625.1_00082																																										
N31.HOG0000045	OG0000158	n0			AY521625.1_00018											L63545.1_00018												MN803438.1_00003						NC_005946.1_00044													
N31.HOG0000046	OG0000159	n0			AY521625.1_00025, AY521625.1_00026, AY521625.1_00029, AY521625.1_00033, AY521625.1_00027, AY521625.1_00030, AY521625.1_00032																																										
N31.HOG0000047	OG0000160	n0			AY521625.1_00126											L63545.1_00055												MN803438.1_00078						NC_005946.1_00075													
N31.HOG0000048	OG0000161	n0														L63545.1_00087												MN803438.1_00011, MN803438.1_00096																			
N31.HOG0000049	OG0000172	n0			AY521625.1_00014																													NC_005946.1_00004													
N31.HOG0000050	OG0000176	n0			AY521625.1_00005											L63545.1_00066												MN803438.1_00028						NC_005946.1_00026													
N31.HOG0000051	OG0000177	n0			AY521625.1_00011											L63545.1_00091												MN803438.1_00030						NC_005946.1_00033													
N31.HOG0000052	OG0000178	n0			AY521625.1_00140											L63545.1_00048												MN803438.1_00092						NC_005946.1_00029													
N31.HOG0000053	OG0000182	n0														L63545.1_00057, L63545.1_00059, L63545.1_00008												MN803438.1_00067, MN803438.1_00038, MN803438.1_00047																			
