Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N68	n22	1.0	Non-Terminal	AF303741_AF303741.1_00079 DNA_polymerase_1, HF920637_HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1	AF303741_AF303741.1_00152 DNA_polymerase_2, HF920637_HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000000	MF599468	n25	1.0	Terminal	MF599468_MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1	MF599468_MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	KX643370	n25	1.0	Terminal	KX643370_Lymph_LDV3_KX643370_00098 hypothetical protein	KX643370_Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	MN562489	n29	1.0	Terminal	MN562489_SDDV_ORF050 RING E3 ubiquitin ligase	MN562489_OM037668.1_00050 hypothetical protein
OG0000003	HF920637	n21	1.0	Terminal	HF920637_HF920637.1 00176 HF920637.1 - hypothetical protein translation	HF920637_HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	HF920637	n13	1.0	Terminal	HF920637_HF920637.1_00015 HF920637.1 - hypothetical protein translation	HF920637_HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000010	KF938901	n15	1.0	Terminal	KF938901_KF938901.1_00022 DNA-directed RNA polymerase subunit 2	KF938901_KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000024	N42	n15	0.23076923076923078	Non-Terminal	MN562489_SDDV_ORF011 Tripartite motif-containing protein, MT521409_SDDV_ORF011 Tripartite motif-containing protein, OM037668_SDDV_ORF011 Tripartite motif-containing protein	MN562489_OM037668.1_00129 hypothetical protein, MT521409_OM037668.1_00129 hypothetical protein, OM037668_OM037668.1_00129 hypothetical protein, MN803438_MN803438.1_00145 hypothetical protein
OG0000083	PQ335173_PQ335174	n7	1.0	Terminal	PQ335173_PQ335174_PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation	PQ335173_PQ335174_PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation
OG0000119	KX643370	n12	1.0	Terminal	KX643370_Lymph_LDV3_KX643370_00009 hypothetical protein	KX643370_Lymph_LDV3_KX643370_00017 hypothetical protein
OG0000121	MF599468	n1	1.0	Terminal	MF599468_MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468_MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468_MF599468.1_00099 MF599468.1 - hypothetical protein translation	MF599468_MF599468.1_00114 MF599468.1 - hypothetical protein translation
OG0000121	MF599468	n2	1.0	Terminal	MF599468_MF599468.1_00102 MF599468.1 - hypothetical protein translation	MF599468_MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468_MF599468.1_00099 MF599468.1 - hypothetical protein translation
OG0000121	MF599468	n3	1.0	Terminal	MF599468_MF599468.1_00100 MF599468.1 - hypothetical protein translation	MF599468_MF599468.1_00099 MF599468.1 - hypothetical protein translation
OG0000121	N62	n4	0.25	Non-Terminal	AF303741_AF303741.1_00065 hypothetical protein	AF303741_AF303741.1_00005 hypothetical protein, AF303741_AF303741.1_00173 hypothetical protein, HF920637_HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00130 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00102 HF920637.1 - hypothetical protein translation, AF303741_AF303741.1_00095 hypothetical protein, AF303741_AF303741.1_00066 hypothetical protein, AF303741_AF303741.1_00007 hypothetical protein, HF920637_HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00034 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00096 HF920637.1 - hypothetical protein translation, KF938901_KF938901.1_00085 hypothetical protein, KF938901_KF938901.1_00140 hypothetical protein, HF920633_HF920633.1_00040 hypothetical protein, HF920633_HF920633.1_00117 hypothetical protein, HF920633_HF920633.1_00143 hypothetical protein, HF920633_HF920633.1_00057 hypothetical protein, HF920633_HF920633.1_00107 hypothetical protein, HF920633_HF920633.1_00172 hypothetical protein, HF920633_HF920633.1_00170 hypothetical protein, AF303741_AF303741.1_00094 hypothetical protein, AF303741_AF303741.1_00109 hypothetical protein
OG0000121	N62	n5	0.25	Non-Terminal	AF303741_AF303741.1_00005 hypothetical protein	AF303741_AF303741.1_00173 hypothetical protein, HF920637_HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00130 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00102 HF920637.1 - hypothetical protein translation, AF303741_AF303741.1_00095 hypothetical protein, AF303741_AF303741.1_00066 hypothetical protein, AF303741_AF303741.1_00007 hypothetical protein, HF920637_HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00034 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00096 HF920637.1 - hypothetical protein translation, KF938901_KF938901.1_00085 hypothetical protein, KF938901_KF938901.1_00140 hypothetical protein, HF920633_HF920633.1_00040 hypothetical protein, HF920633_HF920633.1_00117 hypothetical protein, HF920633_HF920633.1_00143 hypothetical protein, HF920633_HF920633.1_00057 hypothetical protein, HF920633_HF920633.1_00107 hypothetical protein, HF920633_HF920633.1_00172 hypothetical protein, HF920633_HF920633.1_00170 hypothetical protein, AF303741_AF303741.1_00094 hypothetical protein, AF303741_AF303741.1_00109 hypothetical protein
OG0000121	N62	n6	0.5	Non-Terminal	AF303741_AF303741.1_00173 hypothetical protein, HF920637_HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00130 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00102 HF920637.1 - hypothetical protein translation, AF303741_AF303741.1_00095 hypothetical protein	AF303741_AF303741.1_00066 hypothetical protein, AF303741_AF303741.1_00007 hypothetical protein, HF920637_HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00034 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00096 HF920637.1 - hypothetical protein translation, KF938901_KF938901.1_00085 hypothetical protein, KF938901_KF938901.1_00140 hypothetical protein, HF920633_HF920633.1_00040 hypothetical protein, HF920633_HF920633.1_00117 hypothetical protein, HF920633_HF920633.1_00143 hypothetical protein, HF920633_HF920633.1_00057 hypothetical protein, HF920633_HF920633.1_00107 hypothetical protein, HF920633_HF920633.1_00172 hypothetical protein, HF920633_HF920633.1_00170 hypothetical protein, AF303741_AF303741.1_00094 hypothetical protein, AF303741_AF303741.1_00109 hypothetical protein
OG0000121	N68	n7	1.0	Non-Terminal	AF303741_AF303741.1_00173 hypothetical protein, HF920637_HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00130 HF920637.1 - hypothetical protein translation	HF920637_HF920637.1_00102 HF920637.1 - hypothetical protein translation, AF303741_AF303741.1_00095 hypothetical protein
OG0000121	HF920637	n9	1.0	Terminal	HF920637_HF920637.1_00158 HF920637.1 - hypothetical protein translation	HF920637_HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637_HF920637.1_00130 HF920637.1 - hypothetical protein translation
