Orthogroup	OM037668	LS484712
OG0000000	OM037668.1_00035 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	OM037668.1_00056 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	OM037668.1_00050 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	LS484712.1_00248 hypothetical protein
OG0000004	OM037668.1_00013 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000005	OM037668.1_00057 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000006	OM037668.1_00041 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000007	OM037668.1_00123 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000008	OM037668.1_00124 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000009	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	OM037668.1_00098 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	OM037668.1_00009 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	OM037668.1_00090 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	OM037668.1_00084 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	OM037668.1_00073 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	OM037668.1_00078 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	OM037668.1_00004 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	OM037668.1_00021 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000022	OM037668.1_00113 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000023	OM037668.1_00077 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000230	OM037668.1_00017 Golgi anti-apoptotic protein	LS484712.1_00024 Golgi anti-apoptotic protein
