HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N27.HOG0000000	OG0000000	n0	Chlor_AMIV_KF938901.1_00126	Chlor_IIV22_HF920633.1_00044	Daphi_LS484712.1_00114	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	Lymph_LCD4_MN803438.1_00124	Lymph_LDV1_L63545.1_00007	MCV_ML1_SDDV_MN562489.1_00102	MCV_ML1_SDDV_MT521409.1_00103	MCV_ML1_SDDV_NC_027778.1_00083	MCV_ML1_SDDV_OM037668.1_00035																																Rana_FV3_NC_005946.1_00010	Rana_SGIV_AY521625.1_00091
N27.HOG0000001	OG0000001	n0	Chlor_AMIV_KF938901.1_00044	Chlor_IIV22_HF920633.1_00073	Daphi_LS484712.1_00142	Decap_MF599468.1_00152	Irido_IIV31_HF920637.1_00143	Irido_IIV6_AF303741.1_00125	Lymph_LCD4_MN803438.1_00023	Lymph_LDV1_L63545.1_00079	MCV_ML1_SDDV_MN562489.1_00080	MCV_ML1_SDDV_MT521409.1_00081	MCV_ML1_SDDV_NC_027778.1_00061	MCV_ML1_SDDV_OM037668.1_00057																																Rana_FV3_NC_005946.1_00091	Rana_SGIV_AY521625.1_00064
N27.HOG0000002	OG0000002	n0	Chlor_AMIV_KF938901.1_00080	Chlor_IIV22_HF920633.1_00069	Daphi_LS484712.1_00095	Decap_MF599468.1_00163	Irido_IIV31_HF920637.1_00059	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Lymph_LDV1_L63545.1_00035	MCV_ML1_SDDV_MN562489.1_00081	MCV_ML1_SDDV_MT521409.1_00082	MCV_ML1_SDDV_NC_027778.1_00062	MCV_ML1_SDDV_OM037668.1_00056																																Rana_FV3_NC_005946.1_00053	Rana_SGIV_AY521625.1_00077
N27.HOG0000003	OG0000003	n0	Chlor_AMIV_KF938901.1_00005	Chlor_IIV22_HF920633.1_00127	Daphi_LS484712.1_00187	Decap_MF599468.1_00011	Irido_IIV31_HF920637.1_00159	Irido_IIV6_AF303741.1_00035	Lymph_LCD4_MN803438.1_00113	Lymph_LDV1_L63545.1_00076	MCV_ML1_SDDV_MN562489.1_00087	MCV_ML1_SDDV_MT521409.1_00088	MCV_ML1_SDDV_NC_027778.1_00068	MCV_ML1_SDDV_OM037668.1_00050																																Rana_FV3_NC_005946.1_00057	Rana_SGIV_AY521625.1_00130
N27.HOG0000004	OG0000004	n0	Chlor_AMIV_KF938901.1_00043	Chlor_IIV22_HF920633.1_00079		Decap_MF599468.1_00092	Irido_IIV31_HF920637.1_00025	Irido_IIV6_AF303741.1_00080	Lymph_LCD4_MN803438.1_00104	Lymph_LDV1_L63545.1_00001	MCV_ML1_SDDV_MN562489.1_00060	MCV_ML1_SDDV_MT521409.1_00061	MCV_ML1_SDDV_NC_027778.1_00040	MCV_ML1_SDDV_OM037668.1_00076																																Rana_FV3_NC_005946.1_00028	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
N27.HOG0000005	OG0000005	n0	Chlor_AMIV_KF938901.1_00053	Chlor_IIV22_HF920633.1_00091	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Decap_MF599468.1_00174	Irido_IIV31_HF920637.1_00172	Irido_IIV6_AF303741.1_00149	Lymph_LCD4_MN803438.1_00027	Lymph_LDV1_L63545.1_00090	MCV_ML1_SDDV_MN562489.1_00052	MCV_ML1_SDDV_MT521409.1_00053	MCV_ML1_SDDV_NC_027778.1_00032	MCV_ML1_SDDV_OM037668.1_00084																																Rana_FV3_NC_005946.1_00002	Rana_SGIV_AY521625.1_00016
N27.HOG0000006	OG0000006	n0	Chlor_AMIV_KF938901.1_00067	Chlor_IIV22_HF920633.1_00043	Daphi_LS484712.1_00248	Decap_MF599468.1_00030	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Irido_IIV6_AF303741.1_00165	Lymph_LCD4_MN803438.1_00106	Lymph_LDV1_L63545.1_00108	MCV_ML1_SDDV_MN562489.1_00099	MCV_ML1_SDDV_MT521409.1_00100	MCV_ML1_SDDV_NC_027778.1_00080	MCV_ML1_SDDV_OM037668.1_00038																																Rana_FV3_NC_005946.1_00095	Rana_SGIV_AY521625.1_00085
N27.HOG0000007	OG0000007	n14	Chlor_AMIV_KF938901.1_00072	Chlor_IIV22_HF920633.1_00025	Daphi_LS484712.1_00040	Decap_MF599468.1_00010	Irido_IIV31_HF920637.1_00121	Irido_IIV6_AF303741.1_00132	Lymph_LCD4_MN803438.1_00142	Lymph_LDV1_L63545.1_00093	MCV_ML1_SDDV_MN562489.1_00116	MCV_ML1_SDDV_MT521409.1_00117	MCV_ML1_SDDV_NC_027778.1_00098	MCV_ML1_SDDV_OM037668.1_00021																																Rana_FV3_NC_005946.1_00042	Rana_SGIV_AY521625.1_00051
N27.HOG0000008	OG0000008	n0	Chlor_AMIV_KF938901.1_00114	Chlor_IIV22_HF920633.1_00122	Daphi_LS484712.1_00130	Decap_MF599468.1_00075	Irido_IIV31_HF920637.1_00153	Irido_IIV6_AF303741.1_00176	Lymph_LCD4_MN803438.1_00109	Lymph_LDV1_L63545.1_00024	MCV_ML1_SDDV_MN562489.1_00059	MCV_ML1_SDDV_MT521409.1_00060	MCV_ML1_SDDV_NC_027778.1_00039	MCV_ML1_SDDV_OM037668.1_00077																																Rana_FV3_NC_005946.1_00092	Rana_SGIV_AY521625.1_00142
N27.HOG0000009	OG0000009	n0	Chlor_AMIV_KF938901.1_00125	Chlor_IIV22_HF920633.1_00085	Daphi_LS484712.1_00256	Decap_MF599468.1_00154	Irido_IIV31_HF920637.1_00221	Irido_IIV6_AF303741.1_00129	Lymph_LCD4_MN803438.1_00071	Lymph_LDV1_L63545.1_00056	MCV_ML1_SDDV_MN562489.1_00056	MCV_ML1_SDDV_MT521409.1_00057	MCV_ML1_SDDV_NC_027778.1_00036	MCV_ML1_SDDV_OM037668.1_00080																																Rana_FV3_NC_005946.1_00014	Rana_SGIV_AY521625.1_00100
N27.HOG0000010	OG0000010	n0									MCV_ML1_SDDV_MN562489.1_00131, MCV_ML1_SDDV_MN562489.1_00010, MCV_ML1_SDDV_MN562489.1_00002	MCV_ML1_SDDV_MT521409.1_00132, MCV_ML1_SDDV_MT521409.1_00010, MCV_ML1_SDDV_MT521409.1_00002	MCV_ML1_SDDV_NC_027778.1_00114, MCV_ML1_SDDV_NC_027778.1_00120, MCV_ML1_SDDV_NC_027778.1_00131, MCV_ML1_SDDV_NC_027778.1_00123, MCV_ML1_SDDV_NC_027778.1_00122	MCV_ML1_SDDV_OM037668.1_00006, MCV_ML1_SDDV_OM037668.1_00125, MCV_ML1_SDDV_OM037668.1_00133																																	
N27.HOG0000011	OG0000011	n0	Chlor_AMIV_KF938901.1_00012	Chlor_IIV22_HF920633.1_00163	Daphi_LS484712.1_00192	Decap_MF599468.1_00106	Irido_IIV31_HF920637.1_00197	Irido_IIV6_AF303741.1_00137	Lymph_LCD4_MN803438.1_00097	Lymph_LDV1_L63545.1_00009	MCV_ML1_SDDV_MN562489.1_00046	MCV_ML1_SDDV_MT521409.1_00047	MCV_ML1_SDDV_NC_027778.1_00026	MCV_ML1_SDDV_OM037668.1_00090																																Rana_FV3_NC_005946.1_00094	Rana_SGIV_AY521625.1_00086
N27.HOG0000012	OG0000012	n0	Chlor_AMIV_KF938901.1_00023	Chlor_IIV22_HF920633.1_00175	Daphi_LS484712.1_00194	Decap_MF599468.1_00071	Irido_IIV31_HF920637.1_00213	Irido_IIV6_AF303741.1_00189	Lymph_LCD4_MN803438.1_00013	Lymph_LDV1_L63545.1_00013	MCV_ML1_SDDV_MN562489.1_00008	MCV_ML1_SDDV_MT521409.1_00008	MCV_ML1_SDDV_NC_027778.1_00129	MCV_ML1_SDDV_OM037668.1_00127																																Rana_FV3_NC_005946.1_00061	Rana_SGIV_AY521625.1_00065
N27.HOG0000013	OG0000013	n0	Chlor_AMIV_KF938901.1_00025	Chlor_IIV22_HF920633.1_00003	Daphi_LS484712.1_00053	Decap_MF599468.1_00117	Irido_IIV31_HF920637.1_00111	Irido_IIV6_AF303741.1_00081	Lymph_LCD4_MN803438.1_00051	Lymph_LDV1_L63545.1_00068	MCV_ML1_SDDV_MN562489.1_00063	MCV_ML1_SDDV_MT521409.1_00064	MCV_ML1_SDDV_NC_027778.1_00043	MCV_ML1_SDDV_OM037668.1_00073																																Rana_FV3_NC_005946.1_00023	Rana_SGIV_AY521625.1_00047
N27.HOG0000014	OG0000014	n0	Chlor_AMIV_KF938901.1_00046	Chlor_IIV22_HF920633.1_00094	Daphi_LS484712.1_00048	Decap_MF599468.1_00046	Irido_IIV31_HF920637.1_00079	Irido_IIV6_AF303741.1_00062	Lymph_LCD4_MN803438.1_00122	Lymph_LDV1_L63545.1_00073	MCV_ML1_SDDV_MN562489.1_00047	MCV_ML1_SDDV_MT521409.1_00048	MCV_ML1_SDDV_NC_027778.1_00027	MCV_ML1_SDDV_OM037668.1_00089																																Rana_FV3_NC_005946.1_00082	Rana_SGIV_AY521625.1_00073
N27.HOG0000015	OG0000015	n0	Chlor_AMIV_KF938901.1_00047	Chlor_IIV22_HF920633.1_00080	Daphi_LS484712.1_00188	Decap_MF599468.1_00090	Irido_IIV31_HF920637.1_00031	Irido_IIV6_AF303741.1_00156	Lymph_LCD4_MN803438.1_00068	Lymph_LDV1_L63545.1_00098	MCV_ML1_SDDV_MN562489.1_00012	MCV_ML1_SDDV_MT521409.1_00012	MCV_ML1_SDDV_NC_027778.1_00133	MCV_ML1_SDDV_OM037668.1_00123																																Rana_FV3_NC_005946.1_00083	Rana_SGIV_AY521625.1_00074
N27.HOG0000016	OG0000016	n0	Chlor_AMIV_KF938901.1_00054	Chlor_IIV22_HF920633.1_00001	Daphi_LS484712.1_00200	Decap_MF599468.1_00112	Irido_IIV31_HF920637.1_00001	Irido_IIV6_AF303741.1_00011	Lymph_LCD4_MN803438.1_00128	Lymph_LDV1_L63545.1_00071	MCV_ML1_SDDV_MN562489.1_00096	MCV_ML1_SDDV_MT521409.1_00097	MCV_ML1_SDDV_NC_027778.1_00077	MCV_ML1_SDDV_OM037668.1_00041																																Rana_FV3_NC_005946.1_00060	Rana_SGIV_AY521625.1_00110
N27.HOG0000017	OG0000017	n0	Chlor_AMIV_KF938901.1_00060	Chlor_IIV22_HF920633.1_00067	Daphi_LS484712.1_00143	Decap_MF599468.1_00033	Irido_IIV31_HF920637.1_00017	Irido_IIV6_AF303741.1_00023	Lymph_LCD4_MN803438.1_00007	Lymph_LDV1_L63545.1_00004	MCV_ML1_SDDV_MN562489.1_00038	MCV_ML1_SDDV_MT521409.1_00039	MCV_ML1_SDDV_NC_027778.1_00018	MCV_ML1_SDDV_OM037668.1_00098																																Rana_FV3_NC_005946.1_00022	Rana_SGIV_AY521625.1_00048
N27.HOG0000018	OG0000018	n0	Chlor_AMIV_KF938901.1_00074	Chlor_IIV22_HF920633.1_00138	Daphi_LS484712.1_00202	Decap_MF599468.1_00122	Irido_IIV31_HF920637.1_00108	Irido_IIV6_AF303741.1_00026	Lymph_LCD4_MN803438.1_00070	Lymph_LDV1_L63545.1_00030	MCV_ML1_SDDV_MN562489.1_00058	MCV_ML1_SDDV_MT521409.1_00059	MCV_ML1_SDDV_NC_027778.1_00038	MCV_ML1_SDDV_OM037668.1_00078																																Rana_FV3_NC_005946.1_00016	Rana_SGIV_AY521625.1_00115
N27.HOG0000019	OG0000019	n0	Chlor_AMIV_KF938901.1_00092	Chlor_IIV22_HF920633.1_00118	Daphi_LS484712.1_00203	Decap_MF599468.1_00149	Irido_IIV31_HF920637.1_00217	Irido_IIV6_AF303741.1_00006	Lymph_LCD4_MN803438.1_00049	Lymph_LDV1_L63545.1_00069	MCV_ML1_SDDV_MN562489.1_00128	MCV_ML1_SDDV_MT521409.1_00129	MCV_ML1_SDDV_NC_027778.1_00111	MCV_ML1_SDDV_OM037668.1_00009																																Rana_FV3_NC_005946.1_00011	Rana_SGIV_AY521625.1_00053
N27.HOG0000020	OG0000020	n0	Chlor_AMIV_KF938901.1_00095	Chlor_IIV22_HF920633.1_00058	Daphi_LS484712.1_00135	Decap_MF599468.1_00009	Irido_IIV31_HF920637.1_00152	Irido_IIV6_AF303741.1_00046	Lymph_LCD4_MN803438.1_00046	Lymph_LDV1_L63545.1_00110	MCV_ML1_SDDV_MN562489.1_00133	MCV_ML1_SDDV_MT521409.1_00134	MCV_ML1_SDDV_NC_027778.1_00116	MCV_ML1_SDDV_OM037668.1_00004																																Rana_FV3_NC_005946.1_00021	Rana_SGIV_AY521625.1_00035
N27.HOG0000021	OG0000021	n0	Chlor_AMIV_KF938901.1_00123	Chlor_IIV22_HF920633.1_00158	Daphi_LS484712.1_00240	Decap_MF599468.1_00035	Irido_IIV31_HF920637.1_00073	Irido_IIV6_AF303741.1_00063	Lymph_LCD4_MN803438.1_00035	Lymph_LDV1_L63545.1_00072	MCV_ML1_SDDV_MN562489.1_00011	MCV_ML1_SDDV_MT521409.1_00011	MCV_ML1_SDDV_NC_027778.1_00132	MCV_ML1_SDDV_OM037668.1_00124																																Rana_FV3_NC_005946.1_00087	Rana_SGIV_AY521625.1_00059
N27.HOG0000022	OG0000022	n0	Chlor_AMIV_KF938901.1_00124	Chlor_IIV22_HF920633.1_00097	Daphi_LS484712.1_00096	Decap_MF599468.1_00116	Irido_IIV31_HF920637.1_00041	Irido_IIV6_AF303741.1_00158	Lymph_LCD4_MN803438.1_00089	Lymph_LDV1_L63545.1_00043	MCV_ML1_SDDV_MN562489.1_00124	MCV_ML1_SDDV_MT521409.1_00125	MCV_ML1_SDDV_NC_027778.1_00106	MCV_ML1_SDDV_OM037668.1_00013																																Rana_FV3_NC_005946.1_00038	Rana_SGIV_AY521625.1_00054
N27.HOG0000023	OG0000023	n0	Chlor_AMIV_KF938901.1_00031	Chlor_IIV22_HF920633.1_00017	Daphi_LS484712.1_00117	Decap_MF599468.1_00171	Irido_IIV31_HF920637.1_00033	Irido_IIV6_AF303741.1_00154	Lymph_LCD4_MN803438.1_00077	Lymph_LDV1_L63545.1_00054	MCV_ML1_SDDV_MN562489.1_00023	MCV_ML1_SDDV_MT521409.1_00024	MCV_ML1_SDDV_NC_027778.1_00003	MCV_ML1_SDDV_OM037668.1_00113																																Rana_FV3_NC_005946.1_00089	Rana_SGIV_AY521625.1_00062
N27.HOG0000024	OG0000024	n0	Chlor_AMIV_KF938901.1_00094	Chlor_IIV22_HF920633.1_00062	Daphi_LS484712.1_00149		Irido_IIV31_HF920637.1_00061	Irido_IIV6_AF303741.1_00168	Lymph_LCD4_MN803438.1_00024	Lymph_LDV1_L63545.1_00015	MCV_ML1_SDDV_MN562489.1_00073	MCV_ML1_SDDV_MT521409.1_00074	MCV_ML1_SDDV_NC_027778.1_00054	MCV_ML1_SDDV_OM037668.1_00064																																Rana_FV3_NC_005946.1_00067	Rana_SGIV_AY521625.1_00042
N27.HOG0000025	OG0000025	n0	Chlor_AMIV_KF938901.1_00093	Chlor_IIV22_HF920633.1_00047			Irido_IIV31_HF920637.1_00156	Irido_IIV6_AF303741.1_00051			MCV_ML1_SDDV_MN562489.1_00113	MCV_ML1_SDDV_MT521409.1_00114	MCV_ML1_SDDV_NC_027778.1_00094, MCV_ML1_SDDV_NC_027778.1_00095	MCV_ML1_SDDV_OM037668.1_00024																																	
N27.HOG0000026	OG0000026	n0				Decap_MF599468.1_00039			Lymph_LCD4_MN803438.1_00126	Lymph_LDV1_L63545.1_00002	MCV_ML1_SDDV_MN562489.1_00062	MCV_ML1_SDDV_MT521409.1_00063	MCV_ML1_SDDV_NC_027778.1_00042	MCV_ML1_SDDV_OM037668.1_00074																																Rana_FV3_NC_005946.1_00086	Rana_SGIV_AY521625.1_00060
N27.HOG0000027	OG0000027	n0							Lymph_LCD4_MN803438.1_00037	Lymph_LDV1_L63545.1_00058	MCV_ML1_SDDV_MN562489.1_00049	MCV_ML1_SDDV_MT521409.1_00050	MCV_ML1_SDDV_NC_027778.1_00029	MCV_ML1_SDDV_OM037668.1_00087																																Rana_FV3_NC_005946.1_00049	Rana_SGIV_AY521625.1_00022
N27.HOG0000028	OG0000028	n0							Lymph_LCD4_MN803438.1_00054	Lymph_LDV1_L63545.1_00003	MCV_ML1_SDDV_MN562489.1_00026	MCV_ML1_SDDV_MT521409.1_00027	MCV_ML1_SDDV_NC_027778.1_00006	MCV_ML1_SDDV_OM037668.1_00110																																Rana_FV3_NC_005946.1_00085	
