HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N43.HOG0000000	OG0000000	n45					Irido_IIV31_HF920637.1_00129	Irido_IIV6_AF303741.1_00079																																							
N43.HOG0000001	OG0000000	n46					Irido_IIV31_HF920637.1_00164	Irido_IIV6_AF303741.1_00152																																							
N43.HOG0000002	OG0000001	n0					Irido_IIV31_HF920637.1_00143	Irido_IIV6_AF303741.1_00125																																							
N43.HOG0000003	OG0000002	n0					Irido_IIV31_HF920637.1_00059	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047																																							
N43.HOG0000004	OG0000003	n0					Irido_IIV31_HF920637.1_00159	Irido_IIV6_AF303741.1_00035																																							
N43.HOG0000005	OG0000004	n0					Irido_IIV31_HF920637.1_00025	Irido_IIV6_AF303741.1_00080																																							
N43.HOG0000006	OG0000005	n0					Irido_IIV31_HF920637.1_00172	Irido_IIV6_AF303741.1_00149																																							
N43.HOG0000007	OG0000006	n0					Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Irido_IIV6_AF303741.1_00165																																							
N43.HOG0000008	OG0000007	n14					Irido_IIV31_HF920637.1_00121	Irido_IIV6_AF303741.1_00132																																							
N43.HOG0000009	OG0000008	n0					Irido_IIV31_HF920637.1_00153	Irido_IIV6_AF303741.1_00176																																							
N43.HOG0000010	OG0000009	n0					Irido_IIV31_HF920637.1_00221	Irido_IIV6_AF303741.1_00129																																							
N43.HOG0000011	OG0000011	n0					Irido_IIV31_HF920637.1_00197	Irido_IIV6_AF303741.1_00137																																							
N43.HOG0000012	OG0000012	n0					Irido_IIV31_HF920637.1_00213	Irido_IIV6_AF303741.1_00189																																							
N43.HOG0000013	OG0000013	n0					Irido_IIV31_HF920637.1_00111	Irido_IIV6_AF303741.1_00081																																							
N43.HOG0000014	OG0000014	n0					Irido_IIV31_HF920637.1_00079	Irido_IIV6_AF303741.1_00062																																							
N43.HOG0000015	OG0000015	n0					Irido_IIV31_HF920637.1_00031	Irido_IIV6_AF303741.1_00156																																							
N43.HOG0000016	OG0000016	n0					Irido_IIV31_HF920637.1_00001	Irido_IIV6_AF303741.1_00011																																							
N43.HOG0000017	OG0000017	n0					Irido_IIV31_HF920637.1_00017	Irido_IIV6_AF303741.1_00023																																							
N43.HOG0000018	OG0000018	n0					Irido_IIV31_HF920637.1_00108	Irido_IIV6_AF303741.1_00026																																							
N43.HOG0000019	OG0000019	n0					Irido_IIV31_HF920637.1_00217	Irido_IIV6_AF303741.1_00006																																							
N43.HOG0000020	OG0000020	n0					Irido_IIV31_HF920637.1_00152	Irido_IIV6_AF303741.1_00046																																							
N43.HOG0000021	OG0000021	n0					Irido_IIV31_HF920637.1_00073	Irido_IIV6_AF303741.1_00063																																							
N43.HOG0000022	OG0000022	n0					Irido_IIV31_HF920637.1_00041	Irido_IIV6_AF303741.1_00158																																							
N43.HOG0000023	OG0000023	n0					Irido_IIV31_HF920637.1_00033	Irido_IIV6_AF303741.1_00154																																							
N43.HOG0000024	OG0000024	n0					Irido_IIV31_HF920637.1_00061	Irido_IIV6_AF303741.1_00168																																							
N43.HOG0000025	OG0000025	n0					Irido_IIV31_HF920637.1_00156	Irido_IIV6_AF303741.1_00051																																							
N43.HOG0000026	OG0000030	n0					Irido_IIV31_HF920637.1_00127																																								
N43.HOG0000027	OG0000113	n1					Irido_IIV31_HF920637.1_00138	Irido_IIV6_AF303741.1_00170																																							
N43.HOG0000028	OG0000113	n10					Irido_IIV31_HF920637.1_00148	Irido_IIV6_AF303741.1_00169																																							
N43.HOG0000029	OG0000113	n14					Irido_IIV31_HF920637.1_00077																																								
N43.HOG0000030	OG0000119	n7					Irido_IIV31_HF920637.1_00184	Irido_IIV6_AF303741.1_00007																																							
N43.HOG0000031	OG0000119	n8					Irido_IIV31_HF920637.1_00034	Irido_IIV6_AF303741.1_00066																																							
