HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N8.HOG0000000	OG0000000	n0															MCV_MP1_GSPI_KT804738.1_00029									MCV_MP1_OSGI_AY894343.1_00029																					
N8.HOG0000001	OG0000001	n0															MCV_MP1_GSPI_KT804738.1_00007									MCV_MP1_OSGI_AY894343.1_00007																					
N8.HOG0000002	OG0000002	n0															MCV_MP1_GSPI_KT804738.1_00008									MCV_MP1_OSGI_AY894343.1_00008																					
N8.HOG0000003	OG0000003	n0															MCV_MP1_GSPI_KT804738.1_00015									MCV_MP1_OSGI_AY894343.1_00015																					
N8.HOG0000004	OG0000004	n0															MCV_MP1_GSPI_KT804738.1_00109									MCV_MP1_OSGI_AY894343.1_00113																					
N8.HOG0000005	OG0000005	n0															MCV_MP1_GSPI_KT804738.1_00086									MCV_MP1_OSGI_AY894343.1_00090																					
N8.HOG0000006	OG0000006	n0															MCV_MP1_GSPI_KT804738.1_00028									MCV_MP1_OSGI_AY894343.1_00028																					
N8.HOG0000007	OG0000007	n0															MCV_MP1_GSPI_KT804738.1_00072									MCV_MP1_OSGI_AY894343.1_00076																					
N8.HOG0000008	OG0000008	n0															MCV_MP1_GSPI_KT804738.1_00111									MCV_MP1_OSGI_AY894343.1_00115																					
N8.HOG0000009	OG0000009	n0															MCV_MP1_GSPI_KT804738.1_00092									MCV_MP1_OSGI_AY894343.1_00096																					
N8.HOG0000010	OG0000010	n0															MCV_MP1_GSPI_KT804738.1_00073									MCV_MP1_OSGI_AY894343.1_00077																					
N8.HOG0000011	OG0000011	n0															MCV_MP1_GSPI_KT804738.1_00082									MCV_MP1_OSGI_AY894343.1_00086																					
N8.HOG0000012	OG0000012	n0															MCV_MP1_GSPI_KT804738.1_00034									MCV_MP1_OSGI_AY894343.1_00034																					
N8.HOG0000013	OG0000013	n0															MCV_MP1_GSPI_KT804738.1_00104									MCV_MP1_OSGI_AY894343.1_00108																					
N8.HOG0000014	OG0000014	n0															MCV_MP1_GSPI_KT804738.1_00083									MCV_MP1_OSGI_AY894343.1_00087																					
N8.HOG0000015	OG0000015	n0															MCV_MP1_GSPI_KT804738.1_00030									MCV_MP1_OSGI_AY894343.1_00030																					
N8.HOG0000016	OG0000016	n0															MCV_MP1_GSPI_KT804738.1_00021									MCV_MP1_OSGI_AY894343.1_00021																					
N8.HOG0000017	OG0000017	n0															MCV_MP1_GSPI_KT804738.1_00055									MCV_MP1_OSGI_AY894343.1_00056																					
N8.HOG0000018	OG0000018	n0															MCV_MP1_GSPI_KT804738.1_00119									MCV_MP1_OSGI_AY894343.1_00123																					
N8.HOG0000019	OG0000019	n0															MCV_MP1_GSPI_KT804738.1_00060									MCV_MP1_OSGI_AY894343.1_00063																					
N8.HOG0000020	OG0000020	n0															MCV_MP1_GSPI_KT804738.1_00120									MCV_MP1_OSGI_AY894343.1_00124																					
N8.HOG0000021	OG0000021	n0															MCV_MP1_GSPI_KT804738.1_00032									MCV_MP1_OSGI_AY894343.1_00032																					
N8.HOG0000022	OG0000022	n0															MCV_MP1_GSPI_KT804738.1_00005									MCV_MP1_OSGI_AY894343.1_00005																					
N8.HOG0000023	OG0000023	n0															MCV_MP1_GSPI_KT804738.1_00043									MCV_MP1_OSGI_AY894343.1_00043																					
N8.HOG0000024	OG0000024	n0															MCV_MP1_GSPI_KT804738.1_00025									MCV_MP1_OSGI_AY894343.1_00025																					
N8.HOG0000025	OG0000025	n0															MCV_MP1_GSPI_KT804738.1_00061									MCV_MP1_OSGI_AY894343.1_00064																					
N8.HOG0000026	OG0000026	n0															MCV_MP1_GSPI_KT804738.1_00107									MCV_MP1_OSGI_AY894343.1_00111																					
N8.HOG0000027	OG0000027	n0															MCV_MP1_GSPI_KT804738.1_00084									MCV_MP1_OSGI_AY894343.1_00088																					
N8.HOG0000028	OG0000028	n0															MCV_MP1_GSPI_KT804738.1_00046									MCV_MP1_OSGI_AY894343.1_00046																					
N8.HOG0000029	OG0000029	n0															MCV_MP1_GSPI_KT804738.1_00058									MCV_MP1_OSGI_AY894343.1_00061, MCV_MP1_OSGI_AY894343.1_00060																					
N8.HOG0000030	OG0000030	n0															MCV_MP1_GSPI_KT804738.1_00006									MCV_MP1_OSGI_AY894343.1_00006																					
N8.HOG0000031	OG0000031	n0															MCV_MP1_GSPI_KT804738.1_00085									MCV_MP1_OSGI_AY894343.1_00089																					
N8.HOG0000032	OG0000032	n0															MCV_MP1_GSPI_KT804738.1_00001									MCV_MP1_OSGI_AY894343.1_00001																					
N8.HOG0000033	OG0000033	n0															MCV_MP1_GSPI_KT804738.1_00121									MCV_MP1_OSGI_AY894343.1_00125																					
N8.HOG0000034	OG0000034	n9															MCV_MP1_GSPI_KT804738.1_00077									MCV_MP1_OSGI_AY894343.1_00081																					
N8.HOG0000035	OG0000035	n0																								MCV_MP1_OSGI_AY894343.1_00057																					
N8.HOG0000036	OG0000036	n0															MCV_MP1_GSPI_KT804738.1_00115									MCV_MP1_OSGI_AY894343.1_00119																					
N8.HOG0000037	OG0000037	n0															MCV_MP1_GSPI_KT804738.1_00079									MCV_MP1_OSGI_AY894343.1_00083																					
N8.HOG0000038	OG0000038	n0															MCV_MP1_GSPI_KT804738.1_00035									MCV_MP1_OSGI_AY894343.1_00035																					
N8.HOG0000039	OG0000039	n0															MCV_MP1_GSPI_KT804738.1_00047									MCV_MP1_OSGI_AY894343.1_00048																					
N8.HOG0000040	OG0000040	n0															MCV_MP1_GSPI_KT804738.1_00048									MCV_MP1_OSGI_AY894343.1_00049																					
N8.HOG0000041	OG0000041	n0															MCV_MP1_GSPI_KT804738.1_00053									MCV_MP1_OSGI_AY894343.1_00054																					
N8.HOG0000042	OG0000042	n0															MCV_MP1_GSPI_KT804738.1_00054									MCV_MP1_OSGI_AY894343.1_00055																					
N8.HOG0000043	OG0000043	n0															MCV_MP1_GSPI_KT804738.1_00057									MCV_MP1_OSGI_AY894343.1_00059																					
N8.HOG0000044	OG0000044	n0															MCV_MP1_GSPI_KT804738.1_00056									MCV_MP1_OSGI_AY894343.1_00058																					
N8.HOG0000045	OG0000045	n0															MCV_MP1_GSPI_KT804738.1_00091									MCV_MP1_OSGI_AY894343.1_00095																					
N8.HOG0000046	OG0000046	n0															MCV_MP1_GSPI_KT804738.1_00113									MCV_MP1_OSGI_AY894343.1_00117																					
N8.HOG0000047	OG0000047	n0															MCV_MP1_GSPI_KT804738.1_00108									MCV_MP1_OSGI_AY894343.1_00112																					
N8.HOG0000048	OG0000048	n0															MCV_MP1_GSPI_KT804738.1_00013									MCV_MP1_OSGI_AY894343.1_00013																					
N8.HOG0000049	OG0000049	n0															MCV_MP1_GSPI_KT804738.1_00023									MCV_MP1_OSGI_AY894343.1_00023																					
N8.HOG0000050	OG0000050	n0															MCV_MP1_GSPI_KT804738.1_00019									MCV_MP1_OSGI_AY894343.1_00019																					
N8.HOG0000051	OG0000051	n0															MCV_MP1_GSPI_KT804738.1_00020									MCV_MP1_OSGI_AY894343.1_00020																					
N8.HOG0000052	OG0000052	n0															MCV_MP1_GSPI_KT804738.1_00022									MCV_MP1_OSGI_AY894343.1_00022																					
N8.HOG0000053	OG0000053	n0															MCV_MP1_GSPI_KT804738.1_00096									MCV_MP1_OSGI_AY894343.1_00100																					
N8.HOG0000054	OG0000054	n0															MCV_MP1_GSPI_KT804738.1_00093									MCV_MP1_OSGI_AY894343.1_00097																					
N8.HOG0000055	OG0000055	n0															MCV_MP1_GSPI_KT804738.1_00074									MCV_MP1_OSGI_AY894343.1_00078																					
N8.HOG0000056	OG0000056	n0															MCV_MP1_GSPI_KT804738.1_00078									MCV_MP1_OSGI_AY894343.1_00082																					
N8.HOG0000057	OG0000057	n0															MCV_MP1_GSPI_KT804738.1_00014									MCV_MP1_OSGI_AY894343.1_00014																					
N8.HOG0000058	OG0000058	n0															MCV_MP1_GSPI_KT804738.1_00031									MCV_MP1_OSGI_AY894343.1_00031																					
N8.HOG0000059	OG0000059	n0															MCV_MP1_GSPI_KT804738.1_00087									MCV_MP1_OSGI_AY894343.1_00091																					
N8.HOG0000060	OG0000060	n0															MCV_MP1_GSPI_KT804738.1_00010									MCV_MP1_OSGI_AY894343.1_00010																					
N8.HOG0000061	OG0000061	n0															MCV_MP1_GSPI_KT804738.1_00018									MCV_MP1_OSGI_AY894343.1_00018																					
N8.HOG0000062	OG0000062	n0															MCV_MP1_GSPI_KT804738.1_00002									MCV_MP1_OSGI_AY894343.1_00002																					
N8.HOG0000063	OG0000063	n0															MCV_MP1_GSPI_KT804738.1_00069									MCV_MP1_OSGI_AY894343.1_00072																					
N8.HOG0000064	OG0000064	n0															MCV_MP1_GSPI_KT804738.1_00064									MCV_MP1_OSGI_AY894343.1_00067																					
N8.HOG0000065	OG0000065	n0															MCV_MP1_GSPI_KT804738.1_00095									MCV_MP1_OSGI_AY894343.1_00099																					
N8.HOG0000066	OG0000066	n0															MCV_MP1_GSPI_KT804738.1_00017									MCV_MP1_OSGI_AY894343.1_00017																					
N8.HOG0000067	OG0000067	n0															MCV_MP1_GSPI_KT804738.1_00037									MCV_MP1_OSGI_AY894343.1_00037																					
N8.HOG0000068	OG0000068	n0															MCV_MP1_GSPI_KT804738.1_00041									MCV_MP1_OSGI_AY894343.1_00041																					
N8.HOG0000069	OG0000069	n0															MCV_MP1_GSPI_KT804738.1_00045									MCV_MP1_OSGI_AY894343.1_00045																					
N8.HOG0000070	OG0000070	n0															MCV_MP1_GSPI_KT804738.1_00097									MCV_MP1_OSGI_AY894343.1_00101																					
N8.HOG0000071	OG0000071	n0															MCV_MP1_GSPI_KT804738.1_00112									MCV_MP1_OSGI_AY894343.1_00116																					
N8.HOG0000072	OG0000072	n0															MCV_MP1_GSPI_KT804738.1_00117									MCV_MP1_OSGI_AY894343.1_00121																					
N8.HOG0000073	OG0000073	n0															MCV_MP1_GSPI_KT804738.1_00009									MCV_MP1_OSGI_AY894343.1_00009																					
N8.HOG0000074	OG0000074	n0															MCV_MP1_GSPI_KT804738.1_00011									MCV_MP1_OSGI_AY894343.1_00011																					
N8.HOG0000075	OG0000075	n0															MCV_MP1_GSPI_KT804738.1_00016									MCV_MP1_OSGI_AY894343.1_00016																					
N8.HOG0000076	OG0000076	n0															MCV_MP1_GSPI_KT804738.1_00033									MCV_MP1_OSGI_AY894343.1_00033																					
N8.HOG0000077	OG0000077	n0															MCV_MP1_GSPI_KT804738.1_00036									MCV_MP1_OSGI_AY894343.1_00036																					
N8.HOG0000078	OG0000078	n0															MCV_MP1_GSPI_KT804738.1_00039									MCV_MP1_OSGI_AY894343.1_00039																					
N8.HOG0000079	OG0000079	n0															MCV_MP1_GSPI_KT804738.1_00040									MCV_MP1_OSGI_AY894343.1_00040																					
