Orthogroup	MN803438.1	GQ273492.1
OG0000000	MN803438.1_00124	GQ273492.1_00030
OG0000001	MN803438.1_00101, MN803438.1_00056	GQ273492.1_00008
OG0000002	MN803438.1_00023	GQ273492.1_00007
OG0000003	MN803438.1_00113	GQ273492.1_00015
OG0000004	MN803438.1_00104	GQ273492.1_00108
OG0000005	MN803438.1_00071	GQ273492.1_00092
OG0000006	MN803438.1_00142	GQ273492.1_00073
OG0000007	MN803438.1_00027	GQ273492.1_00087
OG0000008	MN803438.1_00106	GQ273492.1_00029
OG0000009	MN803438.1_00109	GQ273492.1_00110
OG0000011	MN803438.1_00049	GQ273492.1_00063
OG0000012	MN803438.1_00128	GQ273492.1_00022
OG0000013	MN803438.1_00007	GQ273492.1_00056
OG0000014	MN803438.1_00070	GQ273492.1_00118
OG0000015	MN803438.1_00046	GQ273492.1_00119
OG0000016	MN803438.1_00122	GQ273492.1_00084
OG0000017	MN803438.1_00035	GQ273492.1_00033
OG0000018	MN803438.1_00051	GQ273492.1_00103
OG0000019	MN803438.1_00097	GQ273492.1_00083
OG0000020	MN803438.1_00068	GQ273492.1_00031
OG0000021	MN803438.1_00089	GQ273492.1_00005
OG0000022	MN803438.1_00013	GQ273492.1_00035
OG0000023	MN803438.1_00077	GQ273492.1_00044
OG0000024	MN803438.1_00024	GQ273492.1_00027
OG0000026	MN803438.1_00126	GQ273492.1_00106
OG0000027	MN803438.1_00037	GQ273492.1_00085
OG0000028	MN803438.1_00054	GQ273492.1_00047
OG0000031	MN803438.1_00145	GQ273492.1_00006
