Orthogroup	MN803438.1	MG570132.1
OG0000000	MN803438.1_00124	MG570132.1_00031
OG0000001	MN803438.1_00101, MN803438.1_00056	MG570132.1_00009
OG0000002	MN803438.1_00023	MG570132.1_00008, MG570132.1_00007
OG0000003	MN803438.1_00113	MG570132.1_00016
OG0000004	MN803438.1_00104	MG570132.1_00108
OG0000005	MN803438.1_00071	MG570132.1_00092
OG0000006	MN803438.1_00142	MG570132.1_00073
OG0000007	MN803438.1_00027	MG570132.1_00087
OG0000008	MN803438.1_00106	MG570132.1_00030
OG0000009	MN803438.1_00109	MG570132.1_00110
OG0000011	MN803438.1_00049	MG570132.1_00063
OG0000012	MN803438.1_00128	MG570132.1_00023
OG0000013	MN803438.1_00007	MG570132.1_00057
OG0000014	MN803438.1_00070	MG570132.1_00118
OG0000015	MN803438.1_00046	MG570132.1_00119
OG0000016	MN803438.1_00122	MG570132.1_00084
OG0000017	MN803438.1_00035	MG570132.1_00034
OG0000018	MN803438.1_00051	MG570132.1_00103
OG0000019	MN803438.1_00097	MG570132.1_00083
OG0000020	MN803438.1_00068	MG570132.1_00032
OG0000021	MN803438.1_00089	MG570132.1_00005
OG0000022	MN803438.1_00013	MG570132.1_00036
OG0000023	MN803438.1_00077	MG570132.1_00045
OG0000024	MN803438.1_00024	MG570132.1_00028
OG0000026	MN803438.1_00126	MG570132.1_00106
OG0000027	MN803438.1_00037	MG570132.1_00085
OG0000028	MN803438.1_00054	MG570132.1_00048
OG0000031	MN803438.1_00145	MG570132.1_00006
