Orthogroup	MN803438.1	OM037668.1
OG0000000	MN803438.1_00124	OM037668.1_00035
OG0000001	MN803438.1_00101, MN803438.1_00056	OM037668.1_00056
OG0000002	MN803438.1_00023	OM037668.1_00057
OG0000003	MN803438.1_00113	OM037668.1_00050
OG0000004	MN803438.1_00104	OM037668.1_00076
OG0000005	MN803438.1_00071	OM037668.1_00080
OG0000006	MN803438.1_00142	OM037668.1_00021
OG0000007	MN803438.1_00027	OM037668.1_00084
OG0000008	MN803438.1_00106	OM037668.1_00038
OG0000009	MN803438.1_00109	OM037668.1_00077
OG0000011	MN803438.1_00049	OM037668.1_00009
OG0000012	MN803438.1_00128	OM037668.1_00041
OG0000013	MN803438.1_00007	OM037668.1_00098
OG0000014	MN803438.1_00070	OM037668.1_00078
OG0000015	MN803438.1_00046	OM037668.1_00004
OG0000016	MN803438.1_00122	OM037668.1_00089
OG0000017	MN803438.1_00035	OM037668.1_00124
OG0000018	MN803438.1_00051	OM037668.1_00073
OG0000019	MN803438.1_00097	OM037668.1_00090
OG0000020	MN803438.1_00068	OM037668.1_00123
OG0000021	MN803438.1_00089	OM037668.1_00013
OG0000022	MN803438.1_00013	OM037668.1_00127
OG0000023	MN803438.1_00077	OM037668.1_00113
OG0000024	MN803438.1_00024	OM037668.1_00064
OG0000026	MN803438.1_00126	OM037668.1_00074
OG0000027	MN803438.1_00037	OM037668.1_00087
OG0000028	MN803438.1_00054	OM037668.1_00110
OG0000031	MN803438.1_00145	OM037668.1_00011
OG0000129	MN803438.1_00082	OM037668.1_00062
OG0000139	MN803438.1_00005	OM037668.1_00068
OG0000147	MN803438.1_00022	OM037668.1_00015, OM037668.1_00071
OG0000151	MN803438.1_00010	OM037668.1_00001
OG0000161	MN803438.1_00011, MN803438.1_00096	OM037668.1_00036
OG0000212	MN803438.1_00130	OM037668.1_00088
